id,term,primary_topic,difficulty,source_batch,authored_fields
e8e42bfb-94a5-4cd6-9927-30b9685c4dd4,ADC,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
716b1bf6-32ff-4794-bf3d-0b7052204f9f,Audio op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
b3ed9a8a-555c-4e9b-ba49-354677c85d47,Bias transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
dfb9647f-9901-46df-9808-9d457d850db4,Bipolar junction transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
3a36bea0-402e-4487-aa8c-dd4547b65e65,Bipolar-input op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
d15f8351-c62b-42c2-ac3f-50d68da44403,BJT,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
f77bd91f-ecbb-453c-995d-94e260ef2922,Cascode stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
4fa41e9e-2848-4698-bf8b-3d88b722b079,Class-A stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
8f35441f-7d76-4175-bbd7-88d9186ac5fa,Class-AB stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
c0ac2fa6-3af3-4aaf-a235-add1d7a27c93,Class-B stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
0dbd0bec-3050-4e76-910d-f530a7879dcf,Collector,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
9cb75232-4855-4f0d-9a47-57ddc5a83dce,Common-base stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
7b91870b-b39f-4a09-a5db-9385bd0dbfa3,Common-emitter stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
065b1790-ef49-4fbe-80b5-33197545a021,Common-source stage,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
d107990b-1d85-41df-b177-7cfb3e3bbf5b,Comparator,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
203d593e-1428-430b-8d20-74db326c782b,Complementary pair,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
3d4773a8-613f-481b-a819-d16f4836ac1f,Constant-current source,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
01725dba-ba61-49e0-861e-e4b815918064,Current mirror,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
a0d9716a-dc2f-47b9-b697-8ddc199e547f,DAC,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
da341b5c-94ae-42e8-9041-dd976756f966,Darlington pair,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
508b6b48-cdc1-4c26-a856-bbe8be84b841,Demultiplexer,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
80177ab6-5654-4490-85ef-590af22d83d1,Difference amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
0d3c2168-a215-4b72-a7ac-184115b0e001,Differential amplifier,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
9ab6312e-e5b7-4ef4-a5c3-12c9962e2aa4,Differential pair,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
ba1d7a03-83c6-4c31-b6c6-2ea9bc2ce631,Digital audio receiver,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
398d0c57-8ce8-41f1-8360-b840812abe2f,Digital audio transmitter,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
f3d9de40-fca6-44aa-9c07-8fb451154507,Drain,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
58b55782-cd1c-45a9-886f-f771566255df,Driver transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
6e6838a2-5a8f-4ac0-bc31-3cd50cc87151,Dual op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
b7697b1a-8aaf-49af-bee0-934a2faac163,Dual transistor,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
158347d4-05ba-4255-89f8-d0625b003cf3,Dual-gate FET,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
b43b7c19-db37-457e-aa8d-c41a1b73d5ef,EEPROM,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
4e9e4422-b155-4b8d-bf33-dc6f8c9fd9ec,Emitter follower,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
28c01d3e-3055-4fc2-8e89-8fde005cc778,Ethernet controller,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
e599b31f-2616-42b4-9ee4-f2ed4d1ed09b,FET-input op amp,Active Devices & Semiconductors,,PENDINGDEF_2026_08_02,definition
