old_topic,old_term_count,operation,target_or_children
Professional Audio Safety,119,KEEP,Professional Audio Safety
Sound & Acoustics,386,SPLIT,"Sound & Wave Fundamentals | Propagation, Reflection & Room Behavior | Frequency, Pitch & Spectral Concepts"
Grounding & Electrical,239,SPLIT2,"Grounding & Shielding | Electrical Power, Distribution & Safety"
"Power Fundamentals, Distribution & Quality",12,MERGE,Grounding & Electrical
Signal Path & Levels,96,KEEP,Signal Path & Levels
Connectors & Plugs,185,KEEP,Connectors & Plugs
Cables & Wiring,69,KEEP,Cables & Wiring
I/O Connections,14,MERGE,Connectors & Plugs
Microphone Types & Transducers,467,SPLIT,Microphone Transducer Principles | Polar Patterns & Microphone Types | Specialized & Emerging Microphones
Microphone Specs & Characteristics,65,KEEP,Microphone Specs & Characteristics
Stereo & Ensemble Miking Techniques,122,KEEP,Stereo & Ensemble Miking Techniques
Instrument & Close Miking Techniques,360,SPLIT,"Close-Miking - Drums & Percussion | Close-Miking - Guitars, Amps & Strings | Close-Miking - Keys, Winds, Brass & Vocals"
"Mic Controls, Power & Mounting",35,MERGE,Microphone Specs & Characteristics
Specialized & Application Microphones,8,MERGE,Specialized & Emerging Microphones
Loudspeaker Types & Drivers,209,KEEP,Loudspeaker Types & Drivers
Enclosures & Crossovers,0,MERGE,"Enclosure, Horn & Radiation Engineering"
Loudspeaker Specs & Behavior,0,MERGE,Loudspeaker Measurement & Modeling
Amplifiers,232,KEEP,Amplifiers
Vacuum Tubes,85,KEEP,Vacuum Tubes
Console Architecture & Signal Flow,250,SPLIT,Console Architecture & Bus Structure | Console Signal Flow & Gain Staging
Channel Strip & Processing,17,MERGE,Console Signal Flow & Gain Staging
"Buses, Routing & Matrix",16,MERGE,Console Architecture & Bus Structure
Digital Console Workflow & Recall,12,MERGE,Console Architecture & Bus Structure
Recorder Types & Formats,40,MERGE,Recorders & File Formats
Audio File Formats & Media,56,MERGE,Recorders & File Formats
Recording Transport & Controls,3,MERGE,Recorders & File Formats
"Storage, Backup & Archival",1,MERGE,Audio Restoration & Archival
"Racks, Patchbays & Wiring Infrastructure",163,KEEP,"Racks, Patchbays & Wiring Infrastructure"
Studio/Stage Furniture & Mounting,11,MERGE,"Racks, Patchbays & Wiring Infrastructure"
Physical Controls & Hardware,13,MERGE,"Racks, Patchbays & Wiring Infrastructure"
Power & Signal Distribution Hardware,2,MERGE,"Racks, Patchbays & Wiring Infrastructure"
Documentation & Diagrams,68,KEEP,Documentation & Diagrams
Dante Fundamentals & Routing,210,KEEP,Dante Fundamentals & Routing
"Dante Devices, Modules & Certification",27,MERGE,Dante Fundamentals & Routing
"Clocking, Redundancy & Network Management",64,KEEP,"Clocking, Redundancy & Network Management"
Control Surfaces & Machine Control,108,KEEP,Control Surfaces & Machine Control
Equalization (EQ),170,KEEP,Equalization (EQ)
Dynamics Processing,312,SPLIT,"Compression & Limiting | Gates, Expanders & Transient Design"
Reverb,141,KEEP,Reverb
Delay & Time-Based Effects,85,KEEP,Delay & Time-Based Effects
Acoustic Principles & Room Behavior,223,KEEP,Acoustic Principles & Room Behavior
Absorption & Bass Trapping,36,MERGE,Room Treatment Layout & Application
Diffusion & Materials,24,MERGE,Room Treatment Layout & Application
Room Treatment Layout & Application,166,KEEP,Room Treatment Layout & Application
