term,subject,landing_topic,concept_hint,status,source_batch
Noise regulation,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"General legal framework controlling unwanted sound from workplaces, venues, transport, construction, industry, or public events.",NEW,NOISELAW_2026_08_02
Noise ordinance,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Local municipal rule (common in the U.S. and elsewhere) setting neighborhood or property-line limits.,NEW,NOISELAW_2026_08_02
Environmental noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Noise affecting the public/community rather than only workers or audience members; EU law uses this concept via the Environmental Noise Directive.,NEW,NOISELAW_2026_08_02
Community noise,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Noise evaluated from the standpoint of nearby residents/sensitive receivers; key for concerts, clubs, festivals, stadiums, industry, airports, highways.",NEW,NOISELAW_2026_08_02
Noise pollution,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Broad public-health framing for harmful or excessive sound exposure.,NEW,NOISELAW_2026_08_02
Noise nuisance,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Legal/planning term for sound that unreasonably disturbs neighbors, even when a simple dB limit is not the only issue.",NEW,NOISELAW_2026_08_02
Statutory nuisance,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,UK-style legal category where noise can be treated as a legally actionable nuisance.,NEW,NOISELAW_2026_08_02
Public nuisance,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Broader legal concept where sound affects a community or public area.,NEW,NOISELAW_2026_08_02
Private nuisance,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Noise interfering with one property owner's/occupier's use and enjoyment of property.,NEW,NOISELAW_2026_08_02
Permissible noise level,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Maximum allowed sound level under a regulation, permit, standard, or license condition.",NEW,NOISELAW_2026_08_02
Noise limit value,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Formal limit in dB, often tied to LAeq, Lmax, L10, L90, Lden, or Lnight.",NEW,NOISELAW_2026_08_02
Target value,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,A recommended or planning goal rather than an absolute enforceable limit.,NEW,NOISELAW_2026_08_02
Guideline value,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Health/policy recommendation (e.g., WHO environmental-noise guidance) that governments may adopt/adapt; WHO night guidance uses Lnight,outside with a 40 dB target.",NEW,NOISELAW_2026_08_02
Action level,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Exposure threshold that triggers required controls, training, monitoring, hearing protection, or administrative action (OSHA/UK/EU systems).",NEW,NOISELAW_2026_08_02
Exposure limit value,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Maximum allowed occupational exposure, usually after considering hearing-protector attenuation (EU/UK); EU 2003/10/EC sets 87 dB ELV with action values at 80 and 85 dB.",NEW,NOISELAW_2026_08_02
Recommended Exposure Limit (REL),"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,NIOSH advisory exposure recommendation; NIOSH states an 85 dBA 8-hour REL for occupational noise.,NEW,NOISELAW_2026_08_02
Hearing conservation program,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Workplace program triggered by exposure thresholds; monitoring, hearing tests, protectors, training, recordkeeping.",NEW,NOISELAW_2026_08_02
Audiometric testing,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Hearing-threshold testing required in many occupational-noise programs (e.g., Australia's WHS rules for workers frequently needing noise PPE).",NEW,NOISELAW_2026_08_02
Noise permit,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Event/construction authorization specifying allowed hours, limits, monitoring locations, and measurement methods.",NEW,NOISELAW_2026_08_02
Sound management plan,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Document for events/venues covering predicted levels, control measures, monitoring, complaints, and mitigation.",NEW,NOISELAW_2026_08_02
Noise impact assessment,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Predictive or measured evaluation of how a project, event, venue, or source affects nearby receivers.",NEW,NOISELAW_2026_08_02
Acoustic assessment report,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Formal consultant report documenting measurement methods, criteria, results, and compliance.",NEW,NOISELAW_2026_08_02
Compliance monitoring,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Real-time or scheduled measurement used to demonstrate that sound remains within limits.,NEW,NOISELAW_2026_08_02
Enforcement officer,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Government/local-authority representative (authorized officer) who can inspect, measure, warn, cite, or shut down an event.",NEW,NOISELAW_2026_08_02
Abatement notice,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,Legal instruction to reduce or stop a nuisance/noise condition.,NEW,NOISELAW_2026_08_02
Cease-and-desist order,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Order to stop an activity that violates noise rules, permit conditions, or nuisance law.",NEW,NOISELAW_2026_08_02
License condition,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Sound restriction attached to a venue, liquor/entertainment license, planning approval, or event permit (e.g., NSW LA10 criteria, emission limits, outdoor/late-night controls).",NEW,NOISELAW_2026_08_02
Development consent condition,"Sound Law, Noise Regulation & Compliance",Sound Law — Legal & Regulatory Framework,"Planning/zoning approval condition regulating amplified music, speaker placement, limiters, or sound levels.",NEW,NOISELAW_2026_08_02
