category,term,status,current_topics
1 — Electrical Fundamentals,Electricity,NEW,
1 — Electrical Fundamentals,Electric charge,NEW,
1 — Electrical Fundamentals,Voltage,EXISTS,Grounding & Electrical
1 — Electrical Fundamentals,Current,EXISTS,Grounding & Electrical
1 — Electrical Fundamentals,Resistance,EXISTS,Grounding & Electrical
1 — Electrical Fundamentals,Conductance,NEW,
1 — Electrical Fundamentals,Impedance,EXISTS,"Amps & Loudspeakers, Commercial Audio Systems, Connectors & I/O Connections, Signal Path & Levels"
1 — Electrical Fundamentals,Reactance,NEW,
1 — Electrical Fundamentals,Capacitance,NEW,
1 — Electrical Fundamentals,Inductance,NEW,
1 — Electrical Fundamentals,Power,NEW,
1 — Electrical Fundamentals,Apparent power,NEW,
1 — Electrical Fundamentals,Real power,NEW,
1 — Electrical Fundamentals,Reactive power,NEW,
1 — Electrical Fundamentals,Watt,EXISTS,"Amplifiers, Amps & Loudspeakers, Grounding & Electrical"
1 — Electrical Fundamentals,Volt,NEW,
1 — Electrical Fundamentals,Ampere,NEW,
1 — Electrical Fundamentals,Ohm,EXISTS,Amps & Loudspeakers
1 — Electrical Fundamentals,Hertz,EXISTS,"Ear Training, Sound & Acoustics"
1 — Electrical Fundamentals,Alternating current (AC),NEW,
1 — Electrical Fundamentals,Direct current (DC),EXISTS,Grounding & Electrical
1 — Electrical Fundamentals,RMS voltage,EXISTS,Grounding & Electrical
1 — Electrical Fundamentals,Peak voltage,NEW,
1 — Electrical Fundamentals,Peak-to-peak voltage,NEW,
1 — Electrical Fundamentals,Frequency,EXISTS,"Sound & Acoustics, Synthesis"
1 — Electrical Fundamentals,Phase,EXISTS,Sound & Acoustics
1 — Electrical Fundamentals,Polarity,EXISTS,"Mixers & Recorders, Signal Path & Levels"
1 — Electrical Fundamentals,Circuit,NEW,
1 — Electrical Fundamentals,Open circuit,EXISTS,Troubleshooting
1 — Electrical Fundamentals,Closed circuit,NEW,
1 — Electrical Fundamentals,Short circuit,EXISTS,Troubleshooting
1 — Electrical Fundamentals,Load,NEW,
2 — AC Power Fundamentals,Single-phase power,NEW,
2 — AC Power Fundamentals,Split-phase power,NEW,
2 — AC Power Fundamentals,Three-phase power,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Line-to-line voltage,NEW,
2 — AC Power Fundamentals,Line-to-neutral voltage,NEW,
2 — AC Power Fundamentals,Neutral conductor,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Grounding conductor,NEW,
2 — AC Power Fundamentals,Bonding,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Earth ground,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Equipment grounding,NEW,
2 — AC Power Fundamentals,Ground fault,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Ground loop,EXISTS,"Connectors & I/O Connections, Grounding & Electrical, Signal Path & Levels, Troubleshooting"
2 — AC Power Fundamentals,Power factor,EXISTS,Grounding & Electrical
2 — AC Power Fundamentals,Balanced load,NEW,
2 — AC Power Fundamentals,Unbalanced load,NEW,
2 — AC Power Fundamentals,Voltage drop,EXISTS,"Grounding & Electrical, Vehicle Audio"
2 — AC Power Fundamentals,Service entrance,NEW,
2 — AC Power Fundamentals,Utility service,NEW,
3 — Power Distribution,Power distribution unit (PDU),EXISTS,Audio Equipment & Infrastructure
3 — Power Distribution,Power distro,EXISTS,Grounding & Electrical
3 — Power Distribution,Distro rack,NEW,
3 — Power Distribution,Company switch,NEW,
3 — Power Distribution,Disconnect switch,NEW,
3 — Power Distribution,Main breaker,NEW,
3 — Power Distribution,Branch circuit,NEW,
3 — Power Distribution,Feeder cable,EXISTS,Grounding & Electrical
3 — Power Distribution,Cam-Lok connector,NEW,
3 — Power Distribution,Edison connector,NEW,
3 — Power Distribution,NEMA connector,EXISTS,Connectors & I/O Connections
3 — Power Distribution,Twist-lock connector,EXISTS,Connectors & I/O Connections
