id,term,primary_topic,difficulty,empty_fields,existing_definition
621448ce-2845-4450-8adb-04de7dbae51a,After-hours cooling,Acoustic Principles & Room Behavior,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
641e97a8-3171-42d0-987e-7d30fbfe64f4,AI stereoization,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
444c2215-f1fa-45a8-8ccd-0165f412dc70,AI upmixing,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
536103e6-0190-4131-8d92-0e01d138df16,Ambience recovery,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
f3594b33-a8a0-4456-9160-05422869641d,Harmonic recovery,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
af1638e1-73f0-4567-a433-5e705dc6ba1c,Image restoration,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
4898f667-602e-49e0-8bce-d48a0d0b58b2,Phase correction,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
433468b9-b8c4-4d1d-b8c9-b1e544e4534d,Region healing,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
b54deb2a-896c-45c9-af58-c138272a069d,Restoration comparison,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
c4d9ddcf-6bf3-4b9c-8a8e-473c6f1e345b,Restoration documentation,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
c72ab612-c70a-45a7-84dc-489fcd308153,Restoration verification,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e87aaa88-9c82-49c5-868f-425314959ad2,Stereo balance correction,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bbcd5b63-33a9-4f1c-9adc-75a44a19d211,Stereo-to-Atmos,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
835ffccc-dd45-4948-8258-10b0702c635d,Stereo-to-surround,AI Source Separation & Restoration,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
666551e4-47b1-431a-b1fd-ce938a11f28c,Cleanvoice,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
008bef9c-8872-447b-9ba1-a44a1252807d,Krisp,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
c4010bf3-7c19-491a-b349-530895887564,RipX DeepMix,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
76c99a1a-7c05-4f1e-aa4b-af3b1043cac5,ToneX,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ff557b12-f78f-45b3-a419-cd65790ca68d,Voice.ai,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
6ed52ade-97aa-4ca2-ab1d-2eb543c18877,Waves Clarity Vx,AI/ML Foundations for Audio,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ba245422-ed13-45a5-a704-c44876255461,Cartridge recording,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ec713107-7b00-4acb-bc7d-ab11d18dd0a7,Edit speed,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
4f4caf29-4a9c-442a-b0b7-96c7cbbaea26,Elcaset recording,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ad5ae86d-7103-488a-8a9a-31052bc0d435,Multitrack recording era,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e49c2580-6971-417f-89bb-3bcb9593095e,Open-reel mastering,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
d5091c46-21ce-4edc-8d04-941d591b2580,Ribbon recording era,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bc032704-56cf-4b1e-b1f7-4c241409dd7f,Tape dump,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
25d5feb2-dc88-41a3-80df-fe2fbb44086b,Tape recording era,Analog Tape / Tape Machines,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
da88e705-46b6-4e7f-b43b-b00aedc4b8b5,Presentation Engineer,Audio Career Exploration,beginner,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,"A live-event and corporate AV production role responsible for preparing, cueing, and playing back on-screen presentation content — slide decks, video clips, lower-thirds, and graphics — during conferences, keynotes, and corporate shows. Working from a playback system (such as PowerPoint/Keynote, ProPresenter, or a dedicated media server) and taking cues from the show caller, the presentation engineer makes sure the correct content reaches the projectors or LED walls on time and error-free. Also known as a presentation operator, graphics/screens operator, or ""PowerPoint"" operator."
0393d7b8-64fa-4b63-9129-fd2ac302a2e6,Systems Manager,Audio Career Exploration,beginner,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,"An audio production role responsible for the design, deployment, alignment, and ongoing management of a sound-reinforcement system — specifying and rigging the loudspeakers and amplifiers, distributing signal and power, and tuning the PA for even coverage, correct level, and consistent tonal balance, typically using measurement software such as Smaart. On tours and large installations the systems manager sets up and maintains the rig so the front-of-house engineer can mix on a known, optimized system; the role is closely related to — and often used interchangeably with — systems engineer or system tech."
66a5ca4e-f965-44b4-9b4d-c7e83dcb6187,Analog playback calibration,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e9992769-87f2-484b-b1ab-848a8aaec187,Archive transfer,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
04177df5-b7a8-4577-9540-0ddb2f808140,Disc restoration,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
928fa2ee-44ce-4e10-b87b-7e71e00fe466,Flat transfer,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
352488df-1a21-4000-96c8-957cc5879a09,High-resolution transfer,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
f2c82afa-8e37-42f9-a622-d89caf0bac78,Leader tape replacement,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
589baecd-29c4-4cb6-b56a-1f5b2d4e73d7,Playback equalization,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1c59ed81-f79a-4289-92b6-2a7db0a34c31,Restoration workflow,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
d5965ca4-4d4d-4932-b83b-e373083c40a8,Shellac restoration,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e584a117-76f1-4b0d-a626-24ee7fc92fc1,Tape splice repair,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
dbfc0b67-b99e-4783-8559-823e58f0041f,Transfer reference tone,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
92578faf-0185-4940-b0fa-235f54710e83,Wind-noise reduction,Audio Restoration & Archival,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
45d805ff-8c58-4d0e-93f0-5addb515b081,After-hours,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
e5bf4e8f-be83-4ba4-bf53-b71f4618decb,Anthem,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
b88f489f-aef4-4c35-b3b2-1265c6aaa28b,Banger,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
1bfa2594-cf35-4ffc-b950-125829be496c,Bring it in,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
183bf41f-b2fc-4fa2-8c03-dd00b24363e1,Certified hit,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
7af85f88-ad16-456f-a54e-7f33e89ff7ca,Dancefloor killer,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
9b1e01c9-c6fb-4385-95e6-a1800cdd4fb2,Day party,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ed40eb11-437f-4a9c-b35d-ee482aaf5b08,Dig deeper,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
5373172f-e477-499d-b601-e1fa5e77751a,Double drop,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
368bc51a-bb99-4533-a791-51702dbcd850,Drop it,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a074aeb1-08e0-449e-815a-cfa7ee35b138,Empty the floor,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
98b52e28-36a5-43d7-80fa-70d47f617c27,Fake mix,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
3a441925-7a0d-4d80-84be-bd7eea69fe68,Fill,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ba18e0b3-3747-49f9-82ac-6951b35bb331,Flip,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
05bf9c80-bcbe-4754-b6a5-5e55a7c10362,Host,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
023a53ea-afb3-4b5b-bdff-37b3468d6b1e,ID (unknown track),"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
7d90baf8-485d-40dd-be45-5eab54cb2e5b,Lose the floor,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
6a203e36-d896-4ace-a7a5-a470d956d9b8,Roll effect,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0db6e8e0-8837-4675-b513-40ce9bac1e9c,Spiral,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
2468fdb5-8eb0-473a-907e-cef9b8b5c1de,Spiral out,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
015d95df-1a2a-453e-9a57-525168051941,Wash out,"Beatmatching, Mixing & FX",null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a44a2347-5c72-454c-b48f-6e4e0ed62125,Radio imaging voice,Broadcast / Radio Production & Air Chain,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
5f421c5a-ffae-4761-a4fa-a3ba53430340,Ghost channel,Channel Strip & Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
f9cae882-e0d7-4cd5-9e53-f9949dea64e6,Signal stage,Circuits & Topologies,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
9f026645-9ae6-4ab2-8e52-d4f110f77432,Audio pocket,Connectors & Plugs,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
a1179c78-a2a3-4ae0-89c1-f1f679aa8eda,Bird's nest,Connectors & Plugs,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8db6587d-5c36-4e05-8d58-21390e03ddbb,Follow,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
ad4850e4-8e7a-4ad0-9778-c8963a4d3832,House music,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
29d8add3-5cf1-4158-ab15-43b7b77b6db8,House start file,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
30ff9320-64eb-43be-b0dd-83133a5012c0,Populate group,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
7965fdca-194d-4277-bef4-59278cbdb050,Population group,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
0e27848f-eec8-418d-8089-5554eefad006,Solo group,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8f5ef941-96a7-4aa3-9f84-7153e053aeaf,Start file,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
9fc53185-7ea4-4c1d-864f-506bdff06b1b,Walk-in,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
63e18750-77b3-41ba-97af-a156ad8e216c,Walk-out,Console Architecture & Signal Flow,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bd5bb4cb-d670-4116-9576-d201cd92fc47,Attention track,Control Surfaces & Machine Control,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
c10eb829-8328-418a-8814-f9177971b6df,Start-time offset,Control Surfaces & Machine Control,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
672f8459-e658-4e56-a05f-3ae40565f4f5,Surface attention zone,Control Surfaces & Machine Control,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
8f7eb2f1-f560-4e24-b14e-2e99419d166e,Arrangement transition,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
d49d9fe7-4955-40a5-9775-9c68d61ffb3f,Breakdown section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bfa2ecae-6980-4985-b471-acf797de76ac,Chorus section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
bf971079-2249-409a-863a-83c7b4221ad3,Climactic section,Creative & Advanced Mix Processing,null,plain_english;purpose_function;practical_application;category;related_terms;common_mistakes;scenario_contexts,(pending)
