term,status,current_topics
Background Noise Criterion (NC/NCB),EXISTS,Documentation & Diagrams
Resilient Channel,EXISTS,Room Acoustics
Room Correction (Auto-Calibration),EXISTS,"Audio Measurement & Optimization, Consumer Audio Systems, Equalization (EQ)"
Room-Within-a-Room,EXISTS,Room Acoustics
Acoustic Caulk / Airtight Sealing,NEW,
Acoustic Door & Seals / Sound Lock,NEW,
Acoustic Isolation / Soundproofing,NEW,
Acoustic Soffit,NEW,
Acoustically Transparent Screen,NEW,
Audyssey MultEQ XT32 / Dynamic EQ / Dynamic Volume,NEW,
Backer Rod,NEW,
Bi-wiring / Bi-amping,NEW,
Bipole / Dipole Surrounds,NEW,
Bitstream vs PCM,NEW,
Bookshelf vs Floorstanding,NEW,
Constrained-Layer Damping (Green Glue),NEW,
Decoupling,NEW,
Dirac Live ART & Bass Control,NEW,
Dolby Vision,NEW,
Double / Staggered-Stud Wall,NEW,
Equipment Closet Heat Load & Ventilation,NEW,
Flanking Transmission,NEW,
Floating Floor,NEW,
HDMI 2.1,NEW,
HDR10 / HDR10+,NEW,
Horn-Loaded / Compression Driver,NEW,
IIC (Impact Insulation Class),NEW,
IMAX Enhanced,NEW,
In-Room Acoustic Treatment,NEW,
LFE / .1 Channel,NEW,
Lossless Codecs (Dolby TrueHD / DTS-HD Master Audio),NEW,
Lossy Codecs (Dolby Digital / DTS),NEW,
Mass-Loaded Vinyl (MLV),NEW,
Powered / Active Subwoofer,NEW,
Quiet HVAC / Duct Silencer,NEW,
Sealed vs Ported Enclosure,NEW,
Sound Isolation Clips & Hat Channel,NEW,
Speaker Coverage & Elevation Angles,NEW,
Speaker Sensitivity & Nominal Impedance,NEW,
STC (Sound Transmission Class),NEW,
THX Certification Tiers,NEW,
VRR / ALLM,NEW,
