term,status,current_topics
5.1 Surround,EXISTS,Consumer Audio Systems
7.1 Surround,EXISTS,Consumer Audio Systems
AV Receiver (AVR),EXISTS,"Amplifiers, Distributed Audio Systems"
Banana Plug,EXISTS,"Connectors & I/O Connections, Consumer Audio Systems"
Bass Management,EXISTS,Consumer Audio Systems
Bass Trap,EXISTS,"Room Acoustics, Sound & Acoustics"
Binding Post,EXISTS,Connectors & I/O Connections
Control System (Control4 / Crestron / Savant),EXISTS,Audio System Design
Dolby Atmos (home),EXISTS,"Amps & Loudspeakers, Consumer Audio Systems, Film & Game Audio"
DTS:X,EXISTS,Film & Game Audio
HDMI,EXISTS,"Connectors & I/O Connections, Distributed Audio Systems, Film & Game Audio"
HDMI-CEC,EXISTS,Consumer Audio Systems
LCR (Left–Center–Right),EXISTS,"Film & Game Audio, Mixing"
Low-Voltage Wiring,EXISTS,Commercial Audio Systems
Object-Based Audio,EXISTS,"Amps & Loudspeakers, Film & Game Audio"
Reference Level (home / THX),EXISTS,Signal Path & Levels
Room Correction,EXISTS,"Audio Measurement & Optimization, Consumer Audio Systems, Equalization (EQ)"
Sightline,EXISTS,Audio System Design
Speaker Wire Gauge,EXISTS,Consumer Audio Systems
Subwoofer Crawl,EXISTS,Consumer Audio Systems
Toe-In,EXISTS,Consumer Audio Systems
4K/8K Passthrough,NEW,
Ambient-Light-Rejecting (ALR) Screen,NEW,
Anamorphic Lens,NEW,
Atmos Layout (5.1.2 / 5.1.4 / 7.1.4),NEW,
Atmos-Enabled (Upfiring) Speakers,NEW,
Auro-3D,NEW,
Auto Calibration,NEW,
Auto Room Correction (Audyssey / Dirac Live / MCACC / YPAO),NEW,
AV Preamp/Processor (Pre-Pro),NEW,
Bed Channels,NEW,
Calibration Microphone,NEW,
CEDIA,NEW,
Ceiling Speakers,NEW,
Center Channel Placement,NEW,
Channel-Based Audio,NEW,
Crossover Setting,NEW,
Dedicated Theater,NEW,
Display Calibration (ISF),NEW,
Dual Subwoofers,NEW,
Ear-Height Alignment,NEW,
First Reflection Point,NEW,
HDCP,NEW,
HDMI ARC / eARC,NEW,
Height / Overhead Speakers,NEW,
Height Channels,NEW,
Home Automation,NEW,
Home Theater Room,NEW,
In-Ceiling Speakers,NEW,
In-Wall Speakers,NEW,
In-Wall-Rated Cable (CL2/CL3),NEW,
Media Room,NEW,
Media Server / Streamer,NEW,
Multi-Room Controller,NEW,
Multipurpose / Living-Room Theater,NEW,
On-Wall Speakers,NEW,
Pre-Wire / Rough-In,NEW,
Projection Screen,NEW,
Projector,NEW,
Reference Listening Position,NEW,
Residential Acoustic Treatment,NEW,
Residential Equipment Rack,NEW,
Room Modes,NEW,
Row Spacing,NEW,
Screen Gain,NEW,
Screen Wall,NEW,
Seating Riser,NEW,
Smart-Home Integration,NEW,
Speaker Distance / Delay Setting,NEW,
Speaker Level Calibration,NEW,
Speaker–Listener Geometry,NEW,
Structured Wiring,NEW,
Subwoofer Placement,NEW,
Surround Back Speakers,NEW,
Surround Speakers,NEW,
Throw Distance,NEW,
THX Certification,NEW,
Timbre Matching,NEW,
Trim-Out,NEW,
Universal Remote,NEW,
Viewing (Seating) Distance,NEW,
