term,topic
Audio surveillance,"Surveillance, Forensic & Covert Audio"
Covert audio,"Surveillance, Forensic & Covert Audio"
Covert recording,"Surveillance, Forensic & Covert Audio"
Covert listening,"Surveillance, Forensic & Covert Audio"
Covert microphone,"Surveillance, Forensic & Covert Audio"
Concealed microphone,"Surveillance, Forensic & Covert Audio"
Listening device,"Surveillance, Forensic & Covert Audio"
Audio bug,"Surveillance, Forensic & Covert Audio"
Bug,"Surveillance, Forensic & Covert Audio"
Bugging,"Surveillance, Forensic & Covert Audio"
Electronic eavesdropping,"Surveillance, Forensic & Covert Audio"
Room monitoring,"Surveillance, Forensic & Covert Audio"
Ambient recording,"Surveillance, Forensic & Covert Audio"
Audio interception,"Surveillance, Forensic & Covert Audio"
Remote audio monitoring,"Surveillance, Forensic & Covert Audio"
Remote listening device,"Surveillance, Forensic & Covert Audio"
Live monitoring,"Surveillance, Forensic & Covert Audio"
Audio intelligence,"Surveillance, Forensic & Covert Audio"
Voice collection,"Surveillance, Forensic & Covert Audio"
Voice interception,"Surveillance, Forensic & Covert Audio"
Body wire microphone,"Surveillance, Forensic & Covert Audio"
Pin microphone,"Surveillance, Forensic & Covert Audio"
Through-wall microphone,"Surveillance, Forensic & Covert Audio"
Beamforming microphone,"Surveillance, Forensic & Covert Audio"
Array microphone,"Surveillance, Forensic & Covert Audio"
Long-range pickup,"Surveillance, Forensic & Covert Audio"
Far-field microphone,"Surveillance, Forensic & Covert Audio"
Near-field microphone,"Surveillance, Forensic & Covert Audio"
Acoustic zoom,"Surveillance, Forensic & Covert Audio"
Acoustic focus,"Surveillance, Forensic & Covert Audio"
Directional pickup,"Surveillance, Forensic & Covert Audio"
Omnidirectional pickup,"Surveillance, Forensic & Covert Audio"
Beam steering,"Surveillance, Forensic & Covert Audio"
Acoustic gain,"Surveillance, Forensic & Covert Audio"
Target isolation,"Surveillance, Forensic & Covert Audio"
Miniature recorder,"Surveillance, Forensic & Covert Audio"
Pocket recorder,"Surveillance, Forensic & Covert Audio"
Wearable recorder,"Surveillance, Forensic & Covert Audio"
Digital voice recorder,"Surveillance, Forensic & Covert Audio"
Solid-state recorder,"Surveillance, Forensic & Covert Audio"
Flash recorder,"Surveillance, Forensic & Covert Audio"
Body recorder,"Surveillance, Forensic & Covert Audio"
Evidence recorder,"Surveillance, Forensic & Covert Audio"
Continuous recorder,"Surveillance, Forensic & Covert Audio"
Event-triggered recorder,"Surveillance, Forensic & Covert Audio"
Voice-activated recorder (VOX),"Surveillance, Forensic & Covert Audio"
Buffered recording,"Surveillance, Forensic & Covert Audio"
Time-stamped recording,"Surveillance, Forensic & Covert Audio"
Audio transmitter,"Surveillance, Forensic & Covert Audio"
RF transmitter,"Surveillance, Forensic & Covert Audio"
Digital transmitter,"Surveillance, Forensic & Covert Audio"
Analog transmitter,"Surveillance, Forensic & Covert Audio"
Encrypted transmitter,"Surveillance, Forensic & Covert Audio"
Low-power transmitter,"Surveillance, Forensic & Covert Audio"
Burst transmitter,"Surveillance, Forensic & Covert Audio"
Frequency hopping,"Surveillance, Forensic & Covert Audio"
Spread spectrum,"Surveillance, Forensic & Covert Audio"
Narrowband transmission,"Surveillance, Forensic & Covert Audio"
UHF transmitter,"Surveillance, Forensic & Covert Audio"
VHF transmitter,"Surveillance, Forensic & Covert Audio"
ISM-band transmitter,"Surveillance, Forensic & Covert Audio"
Bluetooth audio,"Surveillance, Forensic & Covert Audio"
Wi-Fi audio transmission,"Surveillance, Forensic & Covert Audio"
Cellular audio transmitter,"Surveillance, Forensic & Covert Audio"
GSM audio transmitter,"Surveillance, Forensic & Covert Audio"
LTE transmitter,"Surveillance, Forensic & Covert Audio"
Audio link,"Surveillance, Forensic & Covert Audio"
RF link,"Surveillance, Forensic & Covert Audio"
Audio relay,"Surveillance, Forensic & Covert Audio"
Remote receiver,"Surveillance, Forensic & Covert Audio"
Listening post,"Surveillance, Forensic & Covert Audio"
Monitoring station,"Surveillance, Forensic & Covert Audio"
Base station,"Surveillance, Forensic & Covert Audio"
Relay station,"Surveillance, Forensic & Covert Audio"
Audio downlink,"Surveillance, Forensic & Covert Audio"
