term,status,current_topics
3 dB Exchange Rate,NEW,
5 dB Exchange Rate,NEW,
A/B Comparison,EXISTS,Troubleshooting
AB comparison,NEW,
AB Test,NEW,
Absolute Rating,NEW,
Absolute threshold,NEW,
ABX test,NEW,
ABX Testing,NEW,
Accessibility,EXISTS,Assisted Listening Systems
Accessibility Audio Features,NEW,
Accessibility Audit,NEW,
Accessibility Documentation,NEW,
Accessibility Maintenance,NEW,
Accessibility Monitoring,NEW,
Accessibility Program,NEW,
Accessibility Signage,NEW,
Accessibility Standards,NEW,
Accessibility Verification,NEW,
Accessible Communication,NEW,
Accuracy,NEW,
Acoustic Calibration,NEW,
Acoustic Comfort,NEW,
Acoustic Dead Zone,NEW,
Acoustic Feedback,NEW,
Acoustic Filter,NEW,
Acoustic Hot Spot,NEW,
Acoustic Memory,NEW,
Acoustic Perspective,NEW,
Acoustic Reference Level,NEW,
Acoustic shock,NEW,
Acoustic Symmetry,NEW,
Acoustic Trauma,NEW,
Action Level,NEW,
Active Listening,EXISTS,Workplace Skills
Active Noise Cancellation (ANC),EXISTS,Consumer Audio Systems
ADA Compliance,EXISTS,Assisted Listening Systems
Adaptation,NEW,
Adaptive Listening Environment,NEW,
Administrative Controls,NEW,
Affricates,NEW,
AFL (After-Fader Listen),EXISTS,Mixers & Recorders
Age-related hearing loss,NEW,
Air,EXISTS,Mastering
Air conduction,NEW,
Air-conduction audiometry,NEW,
Airiness,NEW,
Aliasing Recognition,NEW,
Alternate Monitor Check,NEW,
Ambient Noise,EXISTS,"Room Acoustics, Sound & Acoustics"
Ambisonics,NEW,
Amplification,NEW,
Amplitude modulation,NEW,
Analytical listening,NEW,
Anchor Sample,NEW,
Anchor stimulus,NEW,
Anchoring,NEW,
Anchoring Bias,NEW,
Announcement Intelligibility,NEW,
Annoyance,NEW,
Annual audiogram,NEW,
Apparent source width (ASW),NEW,
Articulation,EXISTS,Plugins & Virtual Instruments
Articulation loss of consonants (%ALcons),NEW,
Artifact Recognition,NEW,
Assembly Occupancy,NEW,
Assistive Listening,NEW,
Assistive Listening Coverage,NEW,
Assistive Listening Device (ALD),NEW,
Assistive Listening Feed,NEW,
Assistive Listening Performance Standard,NEW,
Assistive Listening System (ALS),EXISTS,"Assisted Listening Systems, Audio System Design"
Asymmetrical hearing loss,NEW,
Attack,EXISTS,"Dynamics Processing, Synthesis"
Attack perception,NEW,
Attenuation,NEW,
Audibility,NEW,
Audibility margin,NEW,
Audience Absorption,EXISTS,Room Acoustics
Audience Accessibility,NEW,
Audience Area,NEW,
Audience Coverage,NEW,
Audience Density,NEW,
Audience Expectation,NEW,
Audience Experience,EXISTS,Film & Game Audio
Audience Experience Optimization,NEW,
Audience Exposure Level,NEW,
Audience Exposure Monitoring,NEW,
Audience Intelligibility,NEW,
Audience Listening Level,NEW,
Audience Perspective,NEW,
Audio description,NEW,
Audio Description Receiver,NEW,
Audio Latency,EXISTS,Troubleshooting
Audio Monitoring,NEW,
Audio Quality,NEW,
Audiogram,NEW,
Audiologist,NEW,
Audiology,NEW,
Audiometric zero,NEW,
Auditory Accommodation,NEW,
Auditory adaptation,NEW,
Auditory Apparent Motion,NEW,
Auditory Attention,NEW,
Auditory cortex,NEW,
Auditory Discrimination,NEW,
Auditory fatigue,NEW,
Auditory filter,NEW,
Auditory Grouping,NEW,
Auditory Illusion,NEW,
Auditory Induction,NEW,
Auditory Localization,NEW,
Auditory masking,NEW,
Auditory memory,NEW,
Auditory nerve,NEW,
Auditory object,NEW,
Auditory pathway,NEW,
Auditory Perception,NEW,
Auditory perspective,NEW,
Auditory processing disorder,NEW,
Auditory Saltation,NEW,
Auditory scene analysis,NEW,
Auditory System,NEW,
Auditory-visual synchronization,NEW,
Auracast Broadcast Audio,NEW,
Aural fullness,NEW,
Auto Calibration,NEW,
Automatic Gain Control (AGC),EXISTS,Dynamics Processing
Automatic Level Control (ALC),NEW,
Automatic Speech Recognition (ASR),NEW,
Automotive Listening,NEW,
Average Level,NEW,
Azimuth,NEW,
Background Music,EXISTS,Analog Live Sound
Background Music Environment,NEW,
Background Noise Floor,NEW,
Backward masking,NEW,
Balance,NEW,
Balcony Listening,NEW,
Band-Limited Reference,NEW,
Baseline audiogram,NEW,
Basilar membrane,NEW,
Bass Enhancement,NEW,
Battery Management,EXISTS,Assisted Listening Systems
Beat perception,NEW,
Beating,NEW,
Binaural hearing,NEW,
Binaural Recording,EXISTS,"Film & Game Audio, Microphones, Recording Arts"
Binaural reproduction,NEW,
Binaural unmasking,NEW,
Blend,EXISTS,"Mixers & Recorders, Mixing"
Blind Comparison,NEW,
Blind Evaluation,NEW,
Blind listening test,NEW,
