field,subject,topic,est_terms
Foundations & Safety,Foundations of Sound & Signal,Sound & Wave Fundamentals,130
Foundations & Safety,Foundations of Sound & Signal,"Propagation, Reflection & Room Behavior",128
Foundations & Safety,Foundations of Sound & Signal,"Frequency, Pitch & Spectral Concepts",128
Foundations & Safety,Foundations of Sound & Signal,Signal Path & Levels,96
Foundations & Safety,Foundations of Sound & Signal,"Foundations - Sound, Waveform, Level & Phase",122
Foundations & Safety,Foundations of Sound & Signal,"Digital Audio - Sampling, Quantization & Formats",137
Foundations & Safety,Safety & Electrical,Professional Audio Safety,119
Foundations & Safety,Safety & Electrical,Grounding & Shielding,126
Foundations & Safety,Safety & Electrical,"Electrical Power, Distribution & Safety",125
Audio Equipment & Signal Chain,Microphones,Microphone Transducer Principles,160
Audio Equipment & Signal Chain,Microphones,Polar Patterns & Microphone Types,160
Audio Equipment & Signal Chain,Microphones,Specialized & Emerging Microphones,155
Audio Equipment & Signal Chain,Microphones,Microphone Specs & Characteristics,100
Audio Equipment & Signal Chain,Microphones,Stereo & Ensemble Miking Techniques,122
Audio Equipment & Signal Chain,Microphones,Close-Miking - Drums & Percussion,120
Audio Equipment & Signal Chain,Microphones,"Close-Miking - Guitars, Amps & Strings",120
Audio Equipment & Signal Chain,Microphones,"Close-Miking - Keys, Winds, Brass & Vocals",120
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Loudspeaker Types & Drivers,209
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Amplifiers,232
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Vacuum Tubes,85
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Transducer Design & Motor Systems,110
Audio Equipment & Signal Chain,Loudspeakers & Amplification,"Enclosure, Horn & Radiation Engineering",110
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Crossover & System Engineering,110
Audio Equipment & Signal Chain,Loudspeakers & Amplification,Loudspeaker Measurement & Modeling,110
Audio Equipment & Signal Chain,Consoles & Control,Console Architecture & Bus Structure,153
Audio Equipment & Signal Chain,Consoles & Control,Console Signal Flow & Gain Staging,142
Audio Equipment & Signal Chain,Consoles & Control,Control Surfaces & Machine Control,108
Audio Equipment & Signal Chain,"Cabling, Connectors & Infrastructure",Connectors & Plugs,199
Audio Equipment & Signal Chain,"Cabling, Connectors & Infrastructure",Cables & Wiring,69
Audio Equipment & Signal Chain,"Cabling, Connectors & Infrastructure","Racks, Patchbays & Wiring Infrastructure",189
Audio Equipment & Signal Chain,"Cabling, Connectors & Infrastructure",Documentation & Diagrams,68
Audio Equipment & Signal Chain,Recording Hardware & Media,Recorders & File Formats,99
Audio Equipment & Signal Chain,Audio Networking,Dante Fundamentals & Routing,237
Audio Equipment & Signal Chain,Audio Networking,"Clocking, Redundancy & Network Management",64
Signal Processing & Effects,Dynamics & EQ,Equalization (EQ),170
Signal Processing & Effects,Dynamics & EQ,Compression & Limiting,160
Signal Processing & Effects,Dynamics & EQ,"Gates, Expanders & Transient Design",152
Signal Processing & Effects,Time-Based & Creative FX,Reverb,141
Signal Processing & Effects,Time-Based & Creative FX,Delay & Time-Based Effects,85
Signal Processing & Effects,Time-Based & Creative FX,Creative Effects & Sound Design in the Mix,126
Signal Processing & Effects,Time-Based & Creative FX,Advanced Parallel & Bus Processing,126
Signal Processing & Effects,Plugins & Processing Platforms,"Plugin Formats, Hosts & Processing",150
Acoustics & Measurement,Acoustics & Room Behavior,Acoustic Principles & Room Behavior,223
Acoustics & Measurement,Acoustics & Room Behavior,Room Treatment Layout & Application,226
Acoustics & Measurement,Acoustics & Room Behavior,Studio & Facility Design,125
Acoustics & Measurement,Measurement & Analysis,"Levels, Metering & Reference Standards",130
Acoustics & Measurement,Measurement & Analysis,Frequency & Spectrum Analysis,125
Acoustics & Measurement,Measurement & Analysis,Acoustic & Room Measurement Methods,175
Acoustics & Measurement,Measurement & Analysis,Test Signals & Measurement Instruments,125
Acoustics & Measurement,Measurement & Analysis,Signal & Transfer-Function Analysis,138
Acoustics & Measurement,Measurement & Analysis,Test & Measurement Instruments,138
