term,status,current_topics
Absolute Pitch,NEW,
Audiation,NEW,
Beat Induction,NEW,
Beat Perception,NEW,
Beat Salience,NEW,
Beat Tracking,NEW,
Cadence Perception,NEW,
Chord Inversion Perception,NEW,
Chord Perception,NEW,
Chord Quality,NEW,
Chord Root Perception,NEW,
Chordal Roughness,NEW,
Compound Meter,NEW,
Contour Preservation,NEW,
Duple Meter,NEW,
Entrainment,NEW,
Groove Perception,NEW,
Harmonic Expectation,NEW,
Harmonic Function,NEW,
Harmonic Fusion,NEW,
Harmonic Progression,NEW,
Harmonic Resolution,NEW,
Harmonicity,NEW,
Harmony Perception,NEW,
Instrument Recognition,NEW,
Intonation Perception,NEW,
Key Perception,NEW,
Melodic Completion,NEW,
Melodic Contour,NEW,
Melodic Expectation,NEW,
Melodic Interval,NEW,
Melody Perception,NEW,
Meter Perception,NEW,
Metrical Accent,NEW,
Metrical Hierarchy,NEW,
Microtiming,NEW,
Motif Recognition,NEW,
Music Perception,NEW,
Musical Consonance,NEW,
Musical Dissonance,NEW,
Musical Expectancy,NEW,
Musical Form Perception,NEW,
Musical Imagery,NEW,
Musical Memory,NEW,
Musical Schema,NEW,
Musical Surprise,NEW,
Musical Syntax,NEW,
Octave Equivalence,NEW,
Phrase Perception,NEW,
Pitch Chroma,NEW,
Pitch Height,NEW,
Pitch-Class Perception,NEW,
Polyphonic Listening,NEW,
Polyrhythm Perception,NEW,
Pulse,NEW,
Relative Pitch,NEW,
Repetition Recognition,NEW,
Rhythmic Grouping,NEW,
Scale-Degree Perception,NEW,
Sensory Consonance,NEW,
Source–Instrument Segregation,NEW,
Statistical Learning in Music,NEW,
Stream Integration,NEW,
Structural Hearing,NEW,
Subjective Tempo,NEW,
Syncopation,NEW,
Tactus,NEW,
Tempo Perception,NEW,
Theme Recognition,NEW,
Tonal Center,NEW,
Tonal Closure,NEW,
Tonal Consonance,NEW,
Tonal Expectation,NEW,
Tonal Hierarchy,NEW,
Tonal Resolution,NEW,
Tonal Tension,NEW,
Transposition Recognition,NEW,
Triple Meter,NEW,
Tuning-System Perception,NEW,
Voice Leading Perception,NEW,
