gs,topic,current_terms,gap_to_90,recommended_action,merge_or_fold_target,#certs,#programs,member_certs,member_programs,note
140,"Batteries, Backup & Touring Power",0,90,MERGE,"130 Power Fundamentals, Distribution & Quality",1,1,Power Systems,Audio Networking & Infrastructure,touring/backup power folds into Power
870,Audio Technician (commercial card),0,90,RETIRE,(no members; generic placeholder),0,0,,,orphan commercial-card stub
920,"Bench Test, Measurement & Repair",0,90,AUTHOR,(or fold 980 Repair),2,1,Equipment Service; Manufacturing,"Audio Electronics, Service and Repair",distinct bench-test skill; member of Equipment Service
1430,Hearing Disorders & Health,0,90,MERGE,1410 Hearing Anatomy & Function,1,0,Hearing & Audio Health,,thin hearing cluster -> consolidate
1450,Spatial Hearing & Localization,0,90,MERGE,1440 Psychoacoustics,1,2,Psychoacoustics & Listening,Audio Acoustics and System Optimization; Immersive Audio,spatial hearing is psychoacoustics
1460,Speech Intelligibility,0,90,AUTHOR,(4 programs depend on it),0,4,,"Commercial Audio and AV Systems; Audio Acoustics and System Optimization; Broadcast, Podcast and Streaming Audio; Worship Audio",keep distinct; author ~90
1470,Loudness & Listening Environments,0,90,MERGE,1440 Psychoacoustics,1,1,Psychoacoustics & Listening,Audio Acoustics and System Optimization,loudness perception -> psychoacoustics
1480,Music Perception,0,90,MERGE,1440 Psychoacoustics,0,0,,,music perception -> psychoacoustics (unless research prog)
1950,Live Sound — Load-In / Setup / Strike / Load-Out,0,90,AUTHOR,(or fold 640 Deployment / 700 Road Crew),2,1,Live Sound Crew Operations; Road Crew Operations,Live Sound Production,live workflow; member of 2 certs
360,"Storage, Backup & Archival",1,89,GROW,,1,1,Recording Systems,"Sound for Film, Television and Interactive Media",author 89 more terms
1520,Listening Slang & Sound Identification,4,86,GROW,,0,0,,,author 86 more terms
1940,Live Sound — Production Documents & Advancing,4,86,GROW,,2,1,Live Sound Crew Operations; Festival Audio Production,Live Sound Production,author 86 more terms
1420,Hearing Protection & Occupational Health,7,83,GROW,,1,0,Hearing & Audio Health,,author 83 more terms
350,Recording Transport & Controls,8,82,GROW,,0,0,,,author 82 more terms
400,Power & Signal Distribution Hardware,9,81,GROW,,2,2,Infrastructure; Power Systems,Commercial Audio and AV Systems; Audio Networking & Infrastructure,author 81 more terms
600,Patch & Routing Diagnostics,9,81,GROW,,1,1,Troubleshooting,Audio Networking & Infrastructure,author 81 more terms
680,DJ Equipment & Software,9,81,GROW,,1,0,DJ Audio,,author 81 more terms
2030,Live Sound — Troubleshooting & Emergency,9,81,GROW,,1,3,Live Sound System Engineering,"Live Sound Production; Theater, Venue and Entertainment Audio; Worship Audio",author 81 more terms
1070,Vocal & Overdub Production,10,80,GROW,,2,3,Advanced Recording Production; Vocal Mixing & Production,"Studio Recording; Music Production; Broadcast, Podcast and Streaming Audio",author 80 more terms
1210,Streaming & Distribution,10,80,GROW,,2,1,Broadcast & Streaming Audio; Podcast Production,"Broadcast, Podcast and Streaming Audio",author 80 more terms
380,Studio/Stage Furniture & Mounting,12,78,GROW,,0,1,,Audio Networking & Infrastructure,author 78 more terms
860,Architectural Audio (commercial card),12,78,GROW,,1,1,Architectural Audio,Audio Acoustics and System Optimization,author 78 more terms
1840,Cloud & Emerging Production,12,78,GROW,,1,1,Software & DSP Development,AI Audio and Emerging Production,author 78 more terms
390,Physical Controls & Hardware,13,77,GROW,,0,1,,Audio Networking & Infrastructure,author 77 more terms
1530,Monitoring & Audio Evaluation,13,77,GROW,,1,5,Critical Listening,"Mixing and Mastering; Audio Acoustics and System Optimization; Broadcast, Podcast and Streaming Audio; Immersive Audio; Worship Audio",author 77 more terms
1920,"AI Audio Ethics, Rights & Provenance",15,75,GROW,,4,1,AI Audio Foundations; AI Music & Sound Creation; AI Audio Production; AI Voice & Speech,AI Audio and Emerging Production,author 75 more terms
1180,Delivery Formats & Metadata,17,73,GROW,,1,5,Mastering,"Mixing and Mastering; Music Production; Broadcast, Podcast and Streaming Audio; Sound for Film, Television and Interactive Media; Immersive Audio",author 73 more terms
1890,Neural Amp Modeling & Neural Synthesis,18,72,GROW,,1,1,AI Music & Sound Creation,AI Audio and Emerging Production,author 72 more terms
1900,Music Information Retrieval,18,72,GROW,,2,1,AI Audio Foundations; AI Voice & Speech,AI Audio and Emerging Production,author 72 more terms
730,House & Audience Areas,19,71,GROW,,0,1,,"Theater, Venue and Entertainment Audio",author 71 more terms
1050,"Guitar, Bass & Amp Recording",19,71,GROW,,0,1,,Studio Recording,author 71 more terms
1850,AI Music Generation & Composition,19,71,GROW,,1,1,AI Music & Sound Creation,AI Audio and Emerging Production,author 71 more terms
1880,AI Mixing/Mastering & Adaptive Processing,19,71,GROW,,1,1,AI Audio Production,AI Audio and Emerging Production,author 71 more terms
1022,Instrument Recording — Drums & Percussion,20,70,GROW,,1,1,Instrument Recording,Studio Recording,author 70 more terms
320,Digital Console Workflow & Recall,21,69,GROW,,0,1,,Worship Audio,author 69 more terms
1030,Studio Recording Craft — Advanced,21,69,GROW,,1,1,Advanced Recording Production,Studio Recording,author 69 more terms
230,Specialized & Application Microphones,22,68,GROW,,1,0,Wireless Audio Systems,,author 68 more terms
1960,Live Sound — Stage Patch & Signal Distribution,23,67,GROW,,1,2,Live Sound Mixing,"Live Sound Production; Theater, Venue and Entertainment Audio",author 67 more terms
250,Enclosures & Crossovers,24,66,GROW,,0,2,,Commercial Audio and AV Systems; Audio Acoustics and System Optimization,author 66 more terms
750,Fly Systems & Overhead Access,25,65,GROW,,1,1,Entertainment Rigging Fundamentals,"Theater, Venue and Entertainment Audio",author 65 more terms
2020,Live Sound — Communication & Show Calls,25,65,GROW,,1,3,Festival Audio Production,"Live Sound Production; Theater, Venue and Entertainment Audio; Worship Audio",author 65 more terms
520,Diffusion & Materials,27,63,GROW,,1,1,Room Treatment,Audio Acoustics and System Optimization,author 63 more terms
260,Loudspeaker Specs & Behavior,30,60,GROW,,0,3,,Commercial Audio and AV Systems; Audio Acoustics and System Optimization; Worship Audio,author 60 more terms
1860,AI Voice & Speech,31,59,GROW,,1,1,AI Voice & Speech,AI Audio and Emerging Production,author 59 more terms
1310,DAW: Studio One,32,58,GROW,,1,2,Studio One Production,Music Production; Electronic Music & Synthesis,author 58 more terms
1500,Ear Training,33,57,GROW,,1,1,Critical Listening,Mixing and Mastering,author 57 more terms
310,"Buses, Routing & Matrix",34,56,GROW,,1,3,Consoles,Live Sound Production; Mixing and Mastering; Worship Audio,author 56 more terms
300,Channel Strip & Processing,35,55,GROW,,1,3,Consoles,Live Sound Production; Mixing and Mastering; Worship Audio,author 55 more terms
