section,title,topic1,topic2,topic3
Capture & Microphones,Microphone Technology Specialist,Microphone Transducer Principles,Polar Patterns & Microphone Types,Specialized & Emerging Microphones
Capture & Microphones,Studio Miking Specialist,Close-Miking - Drums & Percussion,"Close-Miking - Guitars, Amps & Strings","Close-Miking - Keys, Winds, Brass & Vocals"
Capture & Microphones,Stereo & Ensemble Recording,Stereo & Ensemble Miking Techniques,"Orchestral, Choir & Acoustic-Ensemble Mixing",Microphone Specs & Characteristics
Capture & Microphones,Drum Miking Specialist,Close-Miking - Drums & Percussion,Stereo & Ensemble Miking Techniques,Microphone Specs & Characteristics
Capture & Microphones,Live Wireless Mic Systems,RF Wireless Systems,Microphone Transducer Principles,Live Sound - Monitor Engineering
Capture & Microphones,Field & Location Recording,Recording Fundamentals & Signal Chain,"Post Workflow, Spotting & Sessions",Microphone Transducer Principles
Capture & Microphones,Classical & Orchestral Recording,Stereo & Ensemble Miking Techniques,"Orchestral, Choir & Acoustic-Ensemble Mixing",Room Treatment Layout & Application
Capture & Microphones,Guitar Tone & Recording,"Close-Miking - Guitars, Amps & Strings",Instrument Recording (by Source),"Instrument Mixing - Guitars, Bass & Keys"
Capture & Microphones,Vocal Recording & Production,"Close-Miking - Keys, Winds, Brass & Vocals",Vocal Mixing,"Session Workflow, Takes & Documentation"
Loudspeakers & Amplification,Loudspeaker Design Engineer,Transducer Design & Motor Systems,"Enclosure, Horn & Radiation Engineering",Crossover & System Engineering
Loudspeakers & Amplification,Loudspeaker Systems & Measurement,Loudspeaker Types & Drivers,Loudspeaker Measurement & Modeling,Amplifiers
Loudspeakers & Amplification,Tube & Vintage Gear Specialist,Vacuum Tubes,Preamp & Converter Engineering,Repair
Loudspeakers & Amplification,PA Loudspeaker Systems,Loudspeaker Types & Drivers,System Deployment & Rigging,"System Tuning, Optimization & Alignment"
Loudspeakers & Amplification,Amplifier Technology,Amplifiers,Active Devices & Semiconductors,Circuits & Topologies
Loudspeakers & Amplification,Horn & Waveguide Design,"Enclosure, Horn & Radiation Engineering",Crossover & System Engineering,Loudspeaker Measurement & Modeling
"Consoles, Networking & Infrastructure",Mixing Console Specialist,Console Architecture & Bus Structure,Console Signal Flow & Gain Staging,Control Surfaces & Machine Control
"Consoles, Networking & Infrastructure",Audio Networking (Dante & AV),Dante Fundamentals & Routing,"Clocking, Redundancy & Network Management","Standards - Coding, Systems, Metadata & Transport"
"Consoles, Networking & Infrastructure",Studio Wiring & Infrastructure,"Racks, Patchbays & Wiring Infrastructure",Connectors & Plugs,Cables & Wiring
"Consoles, Networking & Infrastructure",Digital Console Operations,Console Architecture & Bus Structure,Console Signal Flow & Gain Staging,Digital Live Sound
"Consoles, Networking & Infrastructure",Gain Staging & Signal Flow,Console Signal Flow & Gain Staging,Signal Path & Levels,"Levels, Metering & Reference Standards"
"Consoles, Networking & Infrastructure",AV-over-IP Systems,Commercial/Install AV & Assisted Listening,Dante Fundamentals & Routing,Audio System Design & Specification
"Consoles, Networking & Infrastructure",Stage Patch & Signal Distribution,"Racks, Patchbays & Wiring Infrastructure",Connectors & Plugs,Dante Fundamentals & Routing
Signal Processing,Dynamics & EQ Specialist,Equalization (EQ),Compression & Limiting,"Gates, Expanders & Transient Design"
Signal Processing,Time-Based & Creative FX,Reverb,Delay & Time-Based Effects,Creative Effects & Sound Design in the Mix
Signal Processing,Plugin & Processing Power User,"Plugin Formats, Hosts & Processing",Advanced Parallel & Bus Processing,Virtual Instruments & Samplers
Signal Processing,EQ & Tonal Shaping,Equalization (EQ),Tonal & Timbre Descriptors,Frequency & Spectrum Analysis
Signal Processing,Compression & Dynamics,Compression & Limiting,"Gates, Expanders & Transient Design","Mix Automation, Bus & Loudness"
Signal Processing,Reverb & Spatial FX,Reverb,Delay & Time-Based Effects,Immersive Formats & Delivery
Signal Processing,Sound Design with Synthesis,Synthesis Fundamentals & Oscillators,Creative Effects & Sound Design in the Mix,Virtual Instruments & Samplers
Acoustics & Measurement,Room Acoustics & Treatment,Acoustic Principles & Room Behavior,Room Treatment Layout & Application,Studio & Facility Design
Acoustics & Measurement,Audio Measurement & Analysis,Acoustic & Room Measurement Methods,Frequency & Spectrum Analysis,Signal & Transfer-Function Analysis
Acoustics & Measurement,Test & Calibration Technician,"Levels, Metering & Reference Standards",Test Signals & Measurement Instruments,Test & Measurement Instruments
Acoustics & Measurement,System Tuning & Alignment,"System Tuning, Optimization & Alignment",Signal & Transfer-Function Analysis,Acoustic & Room Measurement Methods
Acoustics & Measurement,Audio Metrology & Calibration,"Levels, Metering & Reference Standards",Test & Measurement Instruments,Standards - General Acoustics & Signal Terms
Acoustics & Measurement,Spectrogram & STFT Analysis,Time/Frequency Displays & Spectrograms,Frequency & Spectrum Analysis,Signal & Transfer-Function Analysis
"Troubleshooting, Repair & Electronics",Audio Troubleshooting Specialist,Troubleshooting Methodology & Diagnostics,Live & System Fault Isolation,"Recording, Mixing & Troubleshooting Concepts"
"Troubleshooting, Repair & Electronics",Electronics Repair Technician,Repair,Soldering,Circuits & Topologies
"Troubleshooting, Repair & Electronics",Analog Electronics for Audio,Passive Components,Active Devices & Semiconductors,Circuits & Topologies
"Troubleshooting, Repair & Electronics",Audio Hardware Manufacturing,"Manufacturing, Assembly & Production",Electromechanical Parts & Hardware,Preamp & Converter Engineering
