term,proposed_topic,source_batch
AA-IIR,General Audio & Signal Terms (Standards),Standards list
ADM Lookup Chunk,"Immersive, Object & Scene Audio (Standards)",Standards list
AES EtherType,Audio Transport & Networking (Standards),Standards list
AES Organizationally Unique Identifier,Audio Transport & Networking (Standards),Standards list
AES protocol identifier,Audio Transport & Networking (Standards),Standards list
AES3 block,Audio Transport & Networking (Standards),Standards list
AES3 frame,Audio Transport & Networking (Standards),Standards list
ATM adaptation-layer parameter,Audio Transport & Networking (Standards),Standards list
ATM audio call,Audio Transport & Networking (Standards),Standards list
ATM interworking,Audio Transport & Networking (Standards),Standards list
AXML Chunk,Audio Metadata & File Formats (Standards),Standards list
Abnormal Growth of Loudness,Broadcast Loudness & Compliance,Standards list
Absolute Gating Threshold,Broadcast Loudness & Compliance,Standards list
Absolute Limen,Psychoacoustics & Audiology (Standards),Standards list
Absolute object position,"Immersive, Object & Scene Audio (Standards)",Standards list
Absolute-polarity inversion,General Audio & Signal Terms (Standards),Standards list
Absorption loss,Room & Building Acoustics (Standards),Standards list
Access unit,Perceptual Audio Coding (Standards),Standards list
Accessibility metadata,Audio Metadata & File Formats (Standards),Standards list
Accessibility presentation,"Speech, Dialogue & Enhancement (Standards)",Standards list
Acoustic Activity Index,Room & Building Acoustics (Standards),Standards list
Acoustic Attenuation Constant,Room & Building Acoustics (Standards),Standards list
Acoustic Black Hole,Room & Building Acoustics (Standards),Standards list
Acoustic Bridge,Room & Building Acoustics (Standards),Standards list
Acoustic Dispersion,Room & Building Acoustics (Standards),Standards list
Acoustic Encounter,Room & Building Acoustics (Standards),Standards list
Acoustic Equivalent Volume,Room & Building Acoustics (Standards),Standards list
Acoustic Localization Error,Room & Building Acoustics (Standards),Standards list
Acoustic Radiation Force,Room & Building Acoustics (Standards),Standards list
Acoustic Streaming,Room & Building Acoustics (Standards),Standards list
Acoustic admittance,"Immersive, Object & Scene Audio (Standards)",Standards list
Acoustic appropriateness,Room & Building Acoustics (Standards),Standards list
Acoustic boundary,Room & Building Acoustics (Standards),Standards list
Acoustic coupler,Room & Building Acoustics (Standards),Standards list
Acoustic diffraction,Room & Building Acoustics (Standards),Standards list
Acoustic energy map,Room & Building Acoustics (Standards),Standards list
Acoustic environment model,Room & Building Acoustics (Standards),Standards list
Acoustic impedance of water,Room & Building Acoustics (Standards),Standards list
Acoustic multitarget tracking,Room & Building Acoustics (Standards),Standards list
Acoustic obstruction,Room & Building Acoustics (Standards),Standards list
Acoustic opening,Room & Building Acoustics (Standards),Standards list
Acoustic particle acceleration,Room & Building Acoustics (Standards),Standards list
Acoustic particle motion,Room & Building Acoustics (Standards),Standards list
Acoustic prediction data set,Room & Building Acoustics (Standards),Standards list
Acoustic privacy,Room & Building Acoustics (Standards),Standards list
Acoustic ray,Room & Building Acoustics (Standards),Standards list
Acoustic ray path,Room & Building Acoustics (Standards),Standards list
Acoustic region,Room & Building Acoustics (Standards),Standards list
Acoustic source trajectory,Room & Building Acoustics (Standards),Standards list
Acoustic transfer impedance,Room & Building Acoustics (Standards),Standards list
Acoustic transfer-function vector,Room & Building Acoustics (Standards),Standards list
Acoustic visibility,Room & Building Acoustics (Standards),Standards list
Acoustic zone,Room & Building Acoustics (Standards),Standards list
Acoustic-command injection,Room & Building Acoustics (Standards),Standards list
Acoustic-environment recording,Room & Building Acoustics (Standards),Standards list
Acoustic-response parameterization,Room & Building Acoustics (Standards),Standards list
Acoustic-scene graph,"Immersive, Object & Scene Audio (Standards)",Standards list
Acoustic-scene navigation,"Immersive, Object & Scene Audio (Standards)",Standards list
Across-Ear Envelope Comparison,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Across-Formant Grouping,Psychoacoustics & Audiology (Standards),Standards list
Across-Modal Influence,Psychoacoustics & Audiology (Standards),Standards list
Action/Object Paradigm,"Immersive, Object & Scene Audio (Standards)",Standards list
Actual loudspeaker position,"Immersive, Object & Scene Audio (Standards)",Standards list
Adaptation control,MPEG Audio Systems & Container Formats (Standards),Standards list
Adapted Port Resistance,General Audio & Signal Terms (Standards),Standards list
Adaptive Psychophysical Method,Neural / ML Audio (Standards),Standards list
Adaptive codebook,Neural / ML Audio (Standards),Standards list
Additivity of Forward Masking,Psychoacoustics & Hearing (Standards),Standards list
Adjacent listener space,"Immersive, Object & Scene Audio (Standards)",Standards list
Administrative audio metadata,"Immersive, Object & Scene Audio (Standards)",Standards list
Adversarial detection front end,Neural / ML Audio (Standards),Standards list
Affinity matrix,Neural / ML Audio (Standards),Standards list
Air-absorption model,Room & Building Acoustics (Standards),Standards list
Air-conduction audiometry,Psychoacoustics & Audiology (Standards),Standards list
Airborne sound insulation,Room & Building Acoustics (Standards),Standards list
Airborne sound insulation rating,Room & Building Acoustics (Standards),Standards list
Album loudness,Broadcast Loudness & Compliance,Standards list
Album-mode processing,General Audio & Signal Terms (Standards),Standards list
Algebraic Loop,General Audio & Signal Terms (Standards),Standards list
Algebraic code-excited linear prediction,Neural / ML Audio (Standards),Standards list
Algorithmic audio,Neural / ML Audio (Standards),Standards list
Alias-Free Neural Nonlinearity,Neural / ML Audio (Standards),Standards list
All Frame,MPEG Audio Systems & Container Formats (Standards),Standards list
Alternate-language presentation,"Immersive, Object & Scene Audio (Standards)",Standards list
Alternative Value Set,MPEG Audio Systems & Container Formats (Standards),Standards list
Alternative audio element,MPEG Audio Systems & Container Formats (Standards),Standards list
Ambient sound,Environmental & Propagation Acoustics (Standards),Standards list
Ambisonic component ordering,"Immersive, Object & Scene Audio (Standards)",Standards list
Ambisonic normalization convention,"Immersive, Object & Scene Audio (Standards)",Standards list
Ambisonics Channel Numbering,"Immersive, Object & Scene Audio (Standards)",Standards list
Anchor loudness,Broadcast Loudness & Compliance,Standards list
Angular Deviation Loss,General Audio & Signal Terms (Standards),Standards list
Angular response data set,General Audio & Signal Terms (Standards),Standards list
Annotation Boundary Deviation,General Audio & Signal Terms (Standards),Standards list
Annoyance,Psychoacoustics & Audiology (Standards),Standards list
Anthropogenic sound,Environmental & Propagation Acoustics (Standards),Standards list
Antiderivative Antialiasing,Neural / ML Audio (Standards),Standards list
Antiphasic Listening Condition,Psychoacoustics & Audiology (Standards),Standards list
Apical Excitation,Psychoacoustics & Audiology (Standards),Standards list
Apparent sound reduction index,Room & Building Acoustics (Standards),Standards list
Arbitrary downmix gain,"Immersive, Object & Scene Audio (Standards)",Standards list
Area source,Environmental & Propagation Acoustics (Standards),Standards list
Arithmetic-coded spectral data,Perceptual Audio Coding (Standards),Standards list
Array manifold,General Audio & Signal Terms (Standards),Standards list
Array manifold vector,General Audio & Signal Terms (Standards),Standards list
Array self-localization,Music Info Retrieval & Machine Listening (Standards),Standards list
Artificial mastoid,Psychoacoustics & Audiology (Standards),Standards list
Ascending method,General Audio & Signal Terms (Standards),Standards list
Assessment level,Environmental & Propagation Acoustics (Standards),Standards list
Assessment period,Environmental & Propagation Acoustics (Standards),Standards list
Attenuation coefficient,Environmental & Propagation Acoustics (Standards),Standards list
Attenuation due to foliage,Environmental & Propagation Acoustics (Standards),Standards list
Attenuation due to geometrical divergence,Environmental & Propagation Acoustics (Standards),Standards list
Attenuation due to housing,Environmental & Propagation Acoustics (Standards),Standards list
Attenuation due to industrial sites,Environmental & Propagation Acoustics (Standards),Standards list
Attractor formation,Neural / ML Audio (Standards),Standards list
Attractor point,Neural / ML Audio (Standards),Standards list
Audibility path,Psychoacoustics & Audiology (Standards),Standards list
Audio Block Format,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio Complementary Object,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio Data Interchange Format,General Audio & Signal Terms (Standards),Standards list
Audio Data Transport Stream,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio Essence,Audio Metadata & File Formats (Standards),Standards list
Audio Feature Ontology,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio Object Type,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio Pack Format,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio Programme Reference Screen,"Immersive, Object & Scene Audio (Standards)",Standards list
Audio Thumbnailing,Music Info Retrieval & Machine Listening (Standards),Standards list
Audio access unit,Perceptual Audio Coding (Standards),Standards list
Audio adversarial example,Neural / ML Audio (Standards),Standards list
Audio call-setup signaling,Audio Transport & Networking (Standards),Standards list
Audio chunk interleaving,Audio Metadata & File Formats (Standards),Standards list
Audio clip node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio conformance point,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio delay node,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio description scheme,General Audio & Signal Terms (Standards),Standards list
Audio descriptor,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio element,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio element dependency,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio element group,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio element identifier,Audio Metadata & File Formats (Standards),Standards list
Audio element interaction,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio elementary stream,Perceptual Audio Coding (Standards),Standards list
Audio frame,MPEG Audio Systems & Container Formats (Standards),Standards list
Audio fundamental frequency,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
Audio harmonicity,MPEG-7 Descriptors & Machine Listening (Standards),Standards list
