term,subject,landing_topic,landing_gs,achievement_id,status,source_batch,related_parent_xref,framing_note
Noxacusis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Loudness hyperacusis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Annoyance hyperacusis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Fear hyperacusis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,Hyperacusis,
Acoustic shock disorder,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Tonic tensor tympani syndrome,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,contested/historical — frame as non-settled
Cochlear synaptopathy,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Auditory neuropathy spectrum disorder,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Neural dyssynchrony,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Cochlear dead region,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Off-frequency listening,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Threshold-equalizing noise test,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Diplacusis binauralis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Diplacusis monauralis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Pitch-shifted tinnitus,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,contested/historical — frame as non-settled
Paracusis Willisii,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Paracusis of Willis,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Auditory deprivation effect,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Late-onset auditory deprivation,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Binaural interference,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Binaural disintegration,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Spatial hearing loss,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
King-Kopetzky syndrome,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,contested/historical — frame as non-settled
Obscure auditory dysfunction,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,contested/historical — frame as non-settled
Suprathreshold auditory deficit,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Frequency selectivity loss,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Temporal fine-structure deficit,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Temporal-envelope processing deficit,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Abnormal loudness adaptation,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Tone decay,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Auditory fatigue,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Residual inhibition of tinnitus,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Residual excitation,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,contested/historical — frame as non-settled
Somatic tinnitus modulation,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Middle-ear muscle myoclonus,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
Typewriter tinnitus,Hearing Disorders & Health,Hearing Disorders & Health,1430,edaffd7e-8ca6-429e-9607-5183e7efb32c,to_author,SUB90_GROW_2026_08_01,,
