term,status,current_topics
Amplification as Vocal Conservation,NEW,
Breathiness,NEW,
Chest Voice,NEW,
Falsetto,NEW,
First Formant (F1),NEW,
Foldback-Induced Strain,NEW,
Formant Pattern,NEW,
Formant Transition,NEW,
Fundamental Frequency of Voice,NEW,
Harmonic Structure of Voice,NEW,
Head Voice,NEW,
Higher Formants,NEW,
Hoarseness,NEW,
Lombard Response,NEW,
Mixed Voice,NEW,
Modal Register,NEW,
Nasal Resonance,NEW,
Passaggio,NEW,
Prosody,NEW,
Register Transition,NEW,
Resonant Voice,NEW,
Roughness,NEW,
Second Formant (F2),NEW,
Sidetone,NEW,
Singer’s Formant,NEW,
Source–Filter Theory,NEW,
Speaker Identification,NEW,
Spectral Tilt,NEW,
Strained Voice,NEW,
Tessitura,NEW,
Tremolo,EXISTS,Reverb & Delay
Vibrato,EXISTS,Reverb & Delay
Vocal Age Perception,NEW,
Vocal Authenticity,NEW,
Vocal Break,NEW,
Vocal Clarity,NEW,
Vocal Effort,NEW,
Vocal Expression,NEW,
Vocal Fatigue,NEW,
Vocal Formant,NEW,
Vocal Fry,NEW,
Vocal Gender Perception,NEW,
Vocal Intelligibility,NEW,
Vocal Intensity,NEW,
Vocal Loudness,NEW,
Vocal Masking,NEW,
Vocal Naturalness,NEW,
Vocal Pitch,NEW,
Vocal Presence,NEW,
Vocal Projection,NEW,
Vocal Range,NEW,
Vocal Register,NEW,
Vocal Resonance,NEW,
Vocal Timbre,NEW,
Voice and Vocal Perception,NEW,
Voice Identity,NEW,
Voice Production,NEW,
Voice Quality,NEW,
Whistle Register,NEW,
