topic,candidate_term,verdict,existing_or_related_term
1430 Hearing Disorders,Noxacusis,AUTHOR_NEW,
1430 Hearing Disorders,Loudness hyperacusis,AUTHOR_NEW,
1430 Hearing Disorders,Annoyance hyperacusis,AUTHOR_NEW,
1430 Hearing Disorders,Fear hyperacusis,AUTHOR_NEW_XREF,Hyperacusis
1430 Hearing Disorders,Acoustic shock disorder,AUTHOR_NEW,
1430 Hearing Disorders,Tonic tensor tympani syndrome,AUTHOR_NEW,
1430 Hearing Disorders,Cochlear synaptopathy,AUTHOR_NEW,
1430 Hearing Disorders,Hidden hearing loss,DROP_EXISTING,Hidden Hearing Loss
1430 Hearing Disorders,Auditory neuropathy spectrum disorder,AUTHOR_NEW,
1430 Hearing Disorders,Neural dyssynchrony,AUTHOR_NEW,
1430 Hearing Disorders,Cochlear dead region,AUTHOR_NEW,
1430 Hearing Disorders,Off-frequency listening,AUTHOR_NEW,
1430 Hearing Disorders,Threshold-equalizing noise test,AUTHOR_NEW,
1430 Hearing Disorders,Diplacusis binauralis,AUTHOR_NEW,
1430 Hearing Disorders,Diplacusis monauralis,AUTHOR_NEW,
1430 Hearing Disorders,Pitch-shifted tinnitus,AUTHOR_NEW,
1430 Hearing Disorders,Paracusis Willisii,AUTHOR_NEW,
1430 Hearing Disorders,Paracusis of Willis,AUTHOR_NEW,
1430 Hearing Disorders,Auditory deprivation effect,AUTHOR_NEW,
1430 Hearing Disorders,Late-onset auditory deprivation,AUTHOR_NEW,
1430 Hearing Disorders,Binaural interference,AUTHOR_NEW,
1430 Hearing Disorders,Binaural disintegration,AUTHOR_NEW,
1430 Hearing Disorders,Spatial hearing loss,AUTHOR_NEW,
1430 Hearing Disorders,King-Kopetzky syndrome,AUTHOR_NEW,
1430 Hearing Disorders,Obscure auditory dysfunction,AUTHOR_NEW,
1430 Hearing Disorders,Suprathreshold auditory deficit,AUTHOR_NEW,
1430 Hearing Disorders,Frequency selectivity loss,AUTHOR_NEW,
1430 Hearing Disorders,Temporal fine-structure deficit,AUTHOR_NEW,
1430 Hearing Disorders,Temporal-envelope processing deficit,AUTHOR_NEW,
1430 Hearing Disorders,Abnormal loudness adaptation,AUTHOR_NEW,
1430 Hearing Disorders,Tone decay,AUTHOR_NEW,
1430 Hearing Disorders,Auditory fatigue,AUTHOR_NEW,
1430 Hearing Disorders,Listening fatigue,DROP_EXISTING,Listening Fatigue
1430 Hearing Disorders,Residual inhibition of tinnitus,AUTHOR_NEW,
1430 Hearing Disorders,Residual excitation,AUTHOR_NEW,
1430 Hearing Disorders,Somatic tinnitus modulation,AUTHOR_NEW,
1430 Hearing Disorders,Middle-ear muscle myoclonus,AUTHOR_NEW,
1430 Hearing Disorders,Typewriter tinnitus,AUTHOR_NEW,
1430 Hearing Disorders,Third-window syndrome,AUTHOR_NEW,
1430 Hearing Disorders,Cochlear conductive hearing loss,AUTHOR_NEW,
1430 Hearing Disorders,Pseudoconductive hearing loss,AUTHOR_NEW,
1430 Hearing Disorders,Carhart notch,AUTHOR_NEW,
1430 Hearing Disorders,Bing effect,AUTHOR_NEW,
1430 Hearing Disorders,Stenger effect,AUTHOR_NEW,
1430 Hearing Disorders,Pseudohypacusis,AUTHOR_NEW,
1430 Hearing Disorders,Functional hearing loss,AUTHOR_NEW,
