term,final_topic,source_batch
AA-IIR,Standards — General Acoustics & Signal Terms,Standards list
ADM Lookup Chunk,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
AES EtherType,"Standards — Coding, Systems, Metadata & Transport",Standards list
AES Organizationally Unique Identifier,"Standards — Coding, Systems, Metadata & Transport",Standards list
AES protocol identifier,"Standards — Coding, Systems, Metadata & Transport",Standards list
AES3 block,"Standards — Coding, Systems, Metadata & Transport",Standards list
AES3 frame,"Standards — Coding, Systems, Metadata & Transport",Standards list
ATM adaptation-layer parameter,"Standards — Coding, Systems, Metadata & Transport",Standards list
ATM audio call,"Standards — Coding, Systems, Metadata & Transport",Standards list
ATM interworking,"Standards — Coding, Systems, Metadata & Transport",Standards list
AXML Chunk,"Standards — Coding, Systems, Metadata & Transport",Standards list
Abnormal Growth of Loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Absolute Gating Threshold,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Absolute Limen,"Standards — Psychoacoustics, Hearing & Audiology",Standards list
Absolute object position,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Absolute-polarity inversion,Standards — General Acoustics & Signal Terms,Standards list
Absorption loss,"Standards — Room, Building, Environmental & Measurement",Standards list
Access unit,"Standards — Coding, Systems, Metadata & Transport",Standards list
Accessibility metadata,"Standards — Coding, Systems, Metadata & Transport",Standards list
Accessibility presentation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",Standards list
Acoustic Activity Index,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Attenuation Constant,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Black Hole,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Bridge,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Dispersion,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Encounter,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Equivalent Volume,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Localization Error,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Radiation Force,"Standards — Room, Building, Environmental & Measurement",Standards list
Acoustic Streaming,"Standards — Room, Building, Environmental & Measurement",Standards list
