source_batch,term,glossary_id,mark,mark_type,symbol,owner,confidence,field,note
PENDINGDEF,Passive Column Array,a9d29642-b5c4-4097-8c23-5788c03c2a64,"Ballou, Handbook for Sound Engineers",copyright,©,Focal Press / Routledge (Taylor & Francis),verified,sources,Recurring reference text across worship terms; citation only.
NOISELAW,Noise Council Code of Practice,c4e45a89-060c-54d8-9901-718cb0419093,Code of Practice on Environmental Noise Control at Concerts (1995),copyright,©,The Noise Council (UK),verified,definition,UK concert-noise guidance document.
SOUNDVIZ,Real-ear measurement,eaa310fe-ff45-56b4-ad68-4af0184a60ac,DSL (Desired Sensation Level),copyright,©,"Western University, National Centre for Audiology (Canada)",verified,"practical_application (""NAL or DSL"")","DSL method (DSL m[i/o]) developed/owned by the National Centre for Audiology, Western University."
PENDINGDEF,Pulpit,bc5c38eb-e327-400e-9b6d-5db9249a7fa0,Encyclopaedia Britannica,copyright,©,"Encyclopaedia Britannica, Inc.",verified,sources,Reference work cited for 'pulpit'.
PENDINGDEF,Pipe Organ,4d1bf28c-d530-421b-ba8c-343d73e524d9,Grove Dictionary of Music,copyright,©,Oxford University Press,verified,sources,Reference work cited for 'pipe organ'.
PENDINGDEF,Hand soldering,85ff48be-2d7d-4da2-b25c-aeb0de78728b,HSE INDG248,copyright,©,UK Health and Safety Executive (HSE),verified,sources,'Solder fume and you' guidance publication.
NOISELAW,ISO 12913,c9a565e0-a8d0-5656-858a-70f8ebeb2c62,ISO 12913-1:2014 soundscape definition (verbatim quotation),copyright,©,International Organization for Standardization (ISO),verified,definition (quoted 'acoustic environment as perceived...in context'),Verbatim quoted defined term; keep quotation marks + attribution.
PENDINGDEF,Scale Illusion,d1f9b179-ac3d-47bb-a606-34ca5775077f,Scale Illusion (Diana Deutsch),copyright,(cite),Diana Deutsch (discovery attribution),verified,definition,"Definition attributes the illusion to Diana Deutsch; author-attribution to her scholarly work, not a mark."
PENDINGDEF,Arrangement loop,e4111914-f77d-4646-87bd-5071bd2d101b,Ableton Live,registered_trademark,®,Ableton AG,verified,definition,"DAW named in the definition. Applies to all 'DAW: Ableton Live' terms in this group (Arrangement overdub, Arrangement recording, Back to Arrangement, Beats warp mode, Capture MIDI, Clip detune, Clip end marker, Clip envelope, Clip launch, Clip launch quantization, Clip loop)."
PENDINGDEF,Clip loop end,0451926a-7ea4-4648-921a-dfde48132205,Ableton Live,registered_trademark,®,Ableton AG,verified,definition,"DAW named in the definition. Applies to all 'DAW: Ableton Live' terms in this group (Clip loop start, Clip start marker, Clip transpose, Complex/Complex Pro/Re-Pitch/Texture/Tones/Warp modes, Global quantization, Preserve transients, Punch-in/out points, Record quantization, Scene launch, Session overdub, Track delay)."
PENDINGDEF,Stem Playback,68093c0a-8fb2-4fff-82b2-870adf0bc048,Ableton Live,registered_trademark,®,Ableton AG,verified,sources,Stem/multitrack playback documentation.
PENDINGDEF,Musical Mode,7ebcce9e-284f-4d4e-bed1-477eb6a4bc09,ACID (ACID-format files),registered_trademark,®,MAGIX Software GmbH (ACID acquired from Sony Creative Software; originated by Sonic Foundry),verified,definition,ACIDized-loop format named in the definition.
PENDINGDEF,Adobe Enhance Speech,ad2bc716-2609-4940-afb6-d94f66e0afea,"Adobe (Adobe Podcast, Premiere Pro, Audition)",registered_trademark,®,Adobe Inc.,verified,definition,Adobe product/brand names in the definition (headword plus Premiere Pro and Audition).
PENDINGDEF,Choir Microphone,ec6dd4d4-47fb-486a-bd1e-d55fb4afe490,AKG,registered_trademark,®,AKG Acoustics (Harman International),verified,sources,"Hanging choir microphone documentation (terms 17, 28)."
PENDINGDEF,Portable clock generator,11aa5be0-fc2d-4cf3-852b-1a7d0275016e,Apogee,registered_trademark,®,Apogee Electronics Corp.,verified,sources,Clock generator documentation.
PENDINGDEF,Episode artwork,420efcdb-e978-447c-88b0-466c11336245,Apple Podcasts,registered_trademark,®,Apple Inc.,verified,platform named in definition (artwork requirements),Apple / Apple Podcasts are Apple Inc. marks.
