term,landing_topic,status,source_batch
AA-IIR,Standards — General Acoustics & Signal Terms,NEW,Standards list
ADM Lookup Chunk,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
AES EtherType,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
AES Organizationally Unique Identifier,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
AES protocol identifier,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
AES3 block,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
AES3 frame,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
ATM adaptation-layer parameter,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
ATM audio call,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
ATM interworking,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
AXML Chunk,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Abnormal Growth of Loudness,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Absolute Gating Threshold,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Absolute Limen,"Standards — Psychoacoustics, Hearing & Audiology",NEW,Standards list
Absolute object position,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Absolute-polarity inversion,Standards — General Acoustics & Signal Terms,NEW,Standards list
Absorption loss,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Access unit,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Accessibility metadata,"Standards — Coding, Systems, Metadata & Transport",NEW,Standards list
Accessibility presentation,"Standards — Immersive/Object/Scene, MIR, ML & Loudness",NEW,Standards list
Acoustic Activity Index,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Attenuation Constant,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Black Hole,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Bridge,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Dispersion,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Encounter,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Equivalent Volume,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
Acoustic Localization Error,"Standards — Room, Building, Environmental & Measurement",NEW,Standards list
