term,proposed_topic,original_category
Acid Flux,Soldering,(none)
Annular Ring,Soldering,(none)
Anti-Static Mat,Repair,(none)
Arcing,Repair,Amplifier Faults
B+ supply,Repair,Tube Power Supply
Bench Power Supply,Repair,(none)
Bench Safety,Repair,Tool & Repair Safety
Bias Adjustment,Repair,(none)
Bleeder resistor,Repair,Power Supply
BNC Connector (Bayonet Neill-Concelman),Repair,Connectors
Board-Level Repair,Repair,(none)
Brass Sponge,Soldering,(none)
Bullet Connector,Repair,(none)
Burnishing,Repair,(none)
Butt Connector,Repair,(none)
Cable Re-termination,Repair,(none)
Cable Repair,Repair,(none)
Cable Tester,Repair,Troubleshooting Technique
Capacitor,Repair,Components
Capacitor Discharge,Repair,(none)
Capsule contamination,Repair,Sound Reinforcement
Capsule leakage,Repair,Sound Reinforcement
Capsule-to-grid connection,Repair,Sound Reinforcement
Chisel Tip,Soldering,(none)
Cold Joint Repair,Soldering,(none)
Cold solder joint,Soldering,Soldering & Repair
Component Lead,Soldering,(none)
Component Polarity,Repair,(none)
Component Tester,Repair,Troubleshooting Technique
Component-Level Repair,Repair,(none)
Conformal Coating,Repair,(none)
Conical Tip,Soldering,(none)
Continuity (Repair Verification),Repair,(none)
Copper Trace,Repair,(none)
Corrosion,Repair,Troubleshooting
Crimp,Repair,(none)
Crimping Tool,Repair,(none)
Desoldering,Soldering,(none)
Desoldering Braid,Soldering,(none)
Desoldering Pump,Soldering,(none)
Dewetting,Soldering,(none)
Dielectric,Repair,Components
Dim Bulb Tester,Repair,(none)
DIP Package,Repair,(none)
Disturbed Joint,Soldering,(none)
Drag Soldering,Soldering,(none)
Drain Wire,Repair,(none)
Dry Joint,Soldering,(none)
Dummy Load,Repair,(none)
Electrolytic Capacitor,Repair,(none)
ESD Protection,Repair,Tool & Repair Safety
ESD Wrist Strap,Repair,(none)
ESD-Safe,Repair,(none)
ESR Meter,Repair,(none)
Euroblock,Repair,Audio Networking
Eutectic Solder,Soldering,(none)
Excess Solder,Soldering,(none)
Eye Protection,Repair,Tool & Repair Safety
Fader Replacement,Repair,(none)
Ferrule,Repair,(none)
Filter capacitor,Repair,Power Supply
Flush Cutters,Soldering,Tool & Repair Safety
Flux,Soldering,(none)
Flux Pen,Soldering,(none)
Flux Residue,Soldering,(none)
Fume Extraction,Soldering,Tool & Repair Safety
Fume Extractor,Soldering,(none)
Function Generator,Repair,(none)
Heat Gun,Repair,(none)
Heat Resistant Surface,Soldering,Tool & Repair Safety
Heat Shrink Tubing,Repair,(none)
