term,id,source,in_db,action
"Certified hit","183bf41f-b2fc-4fa2-8c03-dd00b24363e1","slang_stub",true,"keep"
"Dancefloor killer","7af85f88-ad16-456f-a54e-7f33e89ff7ca","slang_stub",true,"keep"
"Dig deeper","ed40eb11-437f-4a9c-b35d-ee482aaf5b08","slang_stub",true,"keep"
"Empty the floor","a074aeb1-08e0-449e-815a-cfa7ee35b138","slang_stub",true,"keep"
"Beer-proof","a896fab7-fe96-4f22-9e76-1177c6734304","slang_stub",true,"keep"
"Amp city (amp world)","541b43d3-658c-4d7d-bd38-07dedaee6987","slang_stub",true,"keep"
"Communication check","8dfdc2c4-21bd-4a55-9cea-e35968ab6a9e","slang_stub",true,"keep"
"Scratch the grille","a2cc0ad0-7198-4e71-bb58-c200fcf7d6e7","slang_stub",true,"keep"
"Re-drum","6901b91f-884a-40a5-9d32-45b7463edfdb","pending",true,"keep"
"Ride the groove","3b37411b-27df-43ca-b565-ba042e1cb76c","pending",true,"keep"
"Riding the mix","9659205d-2f0d-4adb-ac82-edbc228824a0","pending",true,"keep"
"Rip","7ee0464f-6ebe-4234-a244-5a72a5b5d00e","pending",true,"keep"
"Safety track (DJ)","d845a6d7-b5ea-42bd-b19c-e7b159ea7dc8","pending",true,"keep"
"Save the floor","d2653ebc-6e4a-4321-a632-0c1a2068d739","pending",true,"keep"
"Slam it in","63a5516d-c682-4000-858c-0c289c3883a7","pending",true,"keep"
"Smash cut","70b544f1-f595-4bac-a75b-1ed5a54defd4","pending",true,"keep"
"Tease the drop","2289ade8-040d-4023-944b-fbabcc5d3ff8","pending",true,"keep"
"Throwback","4b84f392-f55b-4482-a668-f354d14a368e","pending",true,"keep"
"Trainwreck","e9dc27b3-29be-47df-a14e-8c26d5dd0cbd","pending",true,"keep"
"Unreleased","3d62038e-7720-495d-9ec3-37b17a2ea8d7","pending",true,"keep"
"VIP mix","a92b0942-9be5-4d88-85a9-556fb04f3d93","pending",true,"keep"
"Weapon","c52d4c63-ab38-4d3e-b551-c301cf6fef6a","pending",true,"keep"
"Wedding set","c9b85305-11fe-4dc6-9ffa-0678c5bc8559","pending",true,"keep"
"Phase-Coherent AudioWarp","13e8c45a-3bf1-4f57-82c6-123449d772b8","pending",true,"keep"
"Consolidate regions","4121f0ec-27d6-4506-8750-a58cdc32caf3","pending",true,"keep"
"Back it off","d5d86e37-2851-474b-9055-e57f900250e2","pending",true,"keep"
"Bad seat","7631bb90-9ff6-4fa6-9422-b87bb7879d03","pending",true,"keep"
"Button it up","d53ea530-6319-44f0-9b66-d791cb45711c","pending",true,"keep"
"Cook (overdrive)","4471b174-f6e6-43e7-83a3-cc9ac3a72a2d","pending",true,"keep"
"Doghouse loom","97265a1d-99cf-4bbc-8df0-81480c08bf51","pending",true,"keep"
"Ear break","2ca16e69-ff56-49ea-a9e6-30c1ffc6792d","pending",true,"keep"
"Festival ears","aa3d2d03-34df-475b-9e50-ab34e86d0be4","pending",true,"keep"
"Fifty-eight","5989b1b3-2329-42ac-a9a3-155a69b3604e","pending",true,"keep"
"Fifty-seven","e6ceb8ea-6be6-40d7-ad05-6c48c4d4da63","pending",true,"keep"
"Fireman","1e45798a-63e8-46fb-8bca-70728cc0d69f","pending",true,"keep"
"Good hang","638ffc6f-ef5f-4538-8f13-edea358dd050","pending",true,"keep"
"Hot seat","387d364f-72a2-4be5-a99e-3ea1d6258508","pending",true,"keep"
"Lean on the limiter","de1b1678-34c5-47c2-88b8-5ed78f51c9a8","pending",true,"keep"
"Limp mode","ac731d02-6d53-4f90-9fff-d4c9bfa8c2bf","pending",true,"keep"
"Living in the red","47d50644-6c8d-4b87-8802-18ebb57c2aac","pending",true,"keep"
"Mains","1f378078-af2f-4208-ac18-276994f1e28d","pending",true,"keep"
"Make it loud","a85bb9f3-78b1-48dc-8f26-743500a7577b","pending",true,"keep"
"Mixing in a hole","f61d8b4f-217e-40d4-9ae0-1a9bd93e20ee","pending",true,"keep"
"Mouse hole","7d000041-c2e1-4889-bdd0-9e8b893b2e8b","pending",true,"keep"
"Not enough rig for the gig","8a13873f-f0ec-4ce0-9828-ef76cc612ceb","pending",true,"keep"
"Pack","18b361a4-ce4e-4451-a4be-7311f2431c93","pending",true,"keep"
"Rat hole","f1c8f14f-b40d-4769-ba5b-8f4ccaab9e88","pending",true,"keep"
"Reset your ears","ba69ba14-8e27-46e5-8060-60f6badf839e","pending",true,"keep"
"Rock-and-roll ready","c9f697dc-818f-41e6-a74b-1de12561e12f","pending",true,"keep"
"Sanity check","fd1142c1-400e-43e2-a95d-af2f13e12ef5","pending",true,"keep"
"Secret sauce","c6101a15-1cb9-4d6c-9526-6a393964d788","pending",true,"keep"
"Show saver","8615d32f-aef2-4f09-b142-53e87e77b915","pending",true,"keep"
"Spare world","9029b45c-d85f-4d14-8adc-40f8f858a1d5","pending",true,"keep"
"That does not play","6808b2bf-eb6d-4e1e-8492-f3f1b1bb8557","pending",true,"keep"
"That plays","9d82e74f-ca0b-4aaa-95c7-b1b527b7fbb2","pending",true,"keep"
"The drive","3fe634b2-5d66-4058-afbd-1c533c1b50a7","pending",true,"keep"
"The show must go on","fb07654c-7669-409d-8dd8-46775c1d96fa","pending",true,"keep"
"Voodoo","5c3e2e6e-d5b8-4a68-b38e-8b7680f74784","pending",true,"keep"
"We are dead in the water","2720148e-6a4b-4a49-8f13-86dc7b56daeb","pending",true,"keep"
"White glove","cf4659e0-70ce-4a29-994c-9947d689947c","pending",true,"keep"
"Amplifier world","6c8b5bef-57f6-48a3-96c9-b4a7246fa4ff","pending",true,"keep"
"Boneyard","4a8a7ddd-f73f-498c-bdd3-5599744d83e7","pending",true,"keep"
"System world","73e1a900-3e2b-48cb-b859-63cb34934e5e","pending",true,"keep"
"Desk du jour","c1f461ae-6b05-470d-8501-db88390b5fb8","pending",true,"keep"
"Bring it up","35ca5e67-508c-4bb3-b6a0-6abf3870f3a9","pending",true,"keep"
"Cable coffin","275e81e8-2b3c-40a9-8a1e-27e338ef7cb6","pending",true,"keep"
"Check one two","aeec2f2d-7c7f-42a7-8f2f-70a5b8e33815","pending",true,"keep"
"Coffin","8b8a3e5d-b904-44d5-bf73-ab0808a9ce84","pending",true,"keep"
"Coming in","cb6e90da-9148-4739-8816-a708d6c94285","pending",true,"keep"
"Coming out","b12c1477-c6a1-4e9d-8b8e-58ceafd61d05","pending",true,"keep"
"Dead","20f3b92a-00e0-4ca0-9589-9bcd892787bb","pending",true,"keep"
"Dead case","0826ab2b-c6b4-4850-9a6f-3d8044fcbd26","pending",true,"keep"
"Doghouse","ec13591d-53f0-4f67-abdb-747496bcfb39","pending",true,"keep"
"Get it off the truck","60ee4cbf-b3d8-450c-ae6d-95bb6adc6032","pending",true,"keep"
"Last mile","ad2dfb2d-520f-4984-ae21-02efc4736035","pending",true,"keep"
"Lid","9a38d4af-a648-4fec-8f83-bef05d5faab0","pending",true,"keep"
"Line system","9fb1d10a-50ec-475d-a3e3-63abe0cd2495","pending",true,"keep"
"Mark it","ab154d29-067c-4204-b300-a237daa35861","pending",true,"keep"
"Mix producer","f0256236-7e28-4c11-800a-e518e5cf87e5","pending",true,"keep"
"Push","86b9b384-dbe3-4ba9-b415-320bacebe4c4","pending",true,"keep"
"Push cases","a0c24f7c-67bc-487f-983b-35c5b18fce88","pending",true,"keep"
"Roll on","23f8f079-6673-4f30-af53-78275740fe32","pending",true,"keep"
"Send it home","d1527598-9c1f-4923-88ba-c03e3da8d057","pending",true,"keep"
"Show box","ad65b98c-1d17-4dd2-b130-1a103691282b","pending",true,"keep"
"Take it out","b9f37864-56eb-41d5-9989-cdb4ebd3a2b7","pending",true,"keep"
"Tip the case","44b08ce9-0bc5-4374-9c40-a7eedd689f86","pending",true,"keep"
"Wheels up","b73b7839-04f4-49cc-a6be-81adfd6f1116","pending",true,"keep"
"Wrap","566a407d-8530-4aae-ab13-054218948863","pending",true,"keep"
"Yellow jacket","d03780f8-dec3-422b-bc00-aa4e30d381c1","pending",true,"keep"
"Voice of God","f0bd015f-6553-4180-ba54-6d928c248cce","pending",true,"keep"
"Actor tracking","38ec5834-b3d5-4ede-a011-17b5318eebf3","pending",true,"keep"
"Audio-triggered lighting cue","991889b2-52d7-4399-a132-e9b3bff75734","pending",true,"keep"
"Automatic backup takeover","e8114273-2e85-4658-879d-e2f12345860d","pending",true,"keep"
"Bodypack handoff","4305e406-c6b7-45ed-841e-70ebcc879f0b","pending",true,"keep"
"Conductor camera feed","6fcc6a90-a7d7-4e24-8262-575e7cf8a2fc","pending",true,"keep"
"Cue buffering","5dda6637-8d6d-4f5e-9900-0077296dbfaa","pending",true,"keep"
"Cue lockout","b2e37d6c-42dd-4d85-8f52-7c8c6602e37a","pending",true,"keep"
"Cue rehearsal mode","0079e831-a80d-46ea-ab0e-362111728bef","pending",true,"keep"
"Cue safe mode","93923679-51b4-4542-9e0b-2055d3f939ae","pending",true,"keep"
"Cue speaker feed","6430a0f0-2597-4b77-a90d-a1208031aac9","pending",true,"keep"
"Electronic percussion rig","495126b5-36e0-4c62-b385-94b3b2d9362f","pending",true,"keep"
"Ensemble input channel","ffac0140-3d14-4306-8525-151dec000190","pending",true,"keep"
"Entrance pickup","7df1737c-a899-4822-be2b-9e482c51fbe9","pending",true,"keep"
"Exit mute","0f60d537-c455-4c09-bf0b-982478df90ea","pending",true,"keep"
"Keyboard playback rig","eb630f17-7256-4e07-8cf3-d267f2ac0991","pending",true,"keep"
"Keyboard programming rig","d4a9135e-17ba-448c-9513-5b8829483ebb","pending",true,"keep"
"Lighting-triggered audio cue","a1314d9f-cba2-45a6-93e3-247a25f2a4a1","pending",true,"keep"
"Line-by-line automation","180b40c9-b22a-4b11-b1e3-0ff3052da9ff","pending",true,"keep"
"Lobby feed","5ba716b8-22ce-41fd-b297-f4a338417376","pending",true,"keep"
"Main playback computer","beda79c4-865e-4dd5-a138-f2ca61e927f5","pending",true,"keep"
"Manual backup takeover","1e92d049-7801-4d46-8962-be6a093c63e2","pending",true,"keep"
"Matrix playback","f35ac155-8cdd-4ecb-ab95-8af57800051f","pending",true,"keep"
"Microphone handoff","d7a51fa9-27f4-49d8-961d-48faf99bdf30","pending",true,"keep"
"Mixer operator","f72f0ae0-9fbf-46c4-a545-ef948b526f70","pending",true,"keep"
"Multichannel playback","d738b9a0-3562-4ecf-99b8-f9d99043a21a","pending",true,"keep"
"Musical-number recall","a69e14a1-7956-4d8e-8049-b05b5554ba32","pending",true,"keep"
"Musical-theater vocal mix","944f35d1-6980-42f3-b1f7-c1fd72474fa0","pending",true,"keep"
"Network trigger","8941e47f-470f-438b-b7f1-0083959330ab","pending",true,"keep"
"Orchestra-pit automation","41113d18-a192-4310-970f-22865fe8bf91","pending",true,"keep"
"Orchestra-pit mix","59560241-b802-44f6-b4d9-2916b882d60e","pending",true,"keep"
"Parameter recall","28ea16d7-78bd-4948-b9e2-439f45999aee","pending",true,"keep"
"Performance mix","1c24db0a-984a-47bf-9be3-48f26e3ddfbb","pending",true,"keep"
"Pit input list","84fa2716-b7ea-4d8b-849e-c065af972076","pending",true,"keep"
"Pit patch list","0681a3be-027b-4a91-ab23-d2400673580e","pending",true,"keep"
"Playback failover","cbf0faed-a826-4e24-a221-528925b10407","pending",true,"keep"
"Playback output patch","7c0ba793-decb-4744-b39d-c57e8b155568","pending",true,"keep"
"Playback routing","68fb078a-953f-4023-b7ec-06b8bd3e839d","pending",true,"keep"
"Preset cue","77408815-84c4-4e5e-858b-0c3d0d3fbc87","pending",true,"keep"
"Production mix","2fedd942-6f11-4ba5-a14d-6086381ff127","pending",true,"keep"
"Scene-based mix","0367c3ce-504d-48c0-803a-9df2782e0b46","pending",true,"keep"
"Show mix","c44124c5-c274-4abc-b833-9328d8231d89","pending",true,"keep"
"Show playback system","d2dfd58c-9620-4d7e-bef7-e8845e0686ed","pending",true,"keep"
"Synchronized redundant playback","c68aaef5-be9c-49ee-bad8-13d88784126d","pending",true,"keep"
"Theatrical sound mix","2d11b850-9fad-4ef8-b1f9-eae93d9c99cb","pending",true,"keep"
"Understudy substitution","2d1003f6-5564-404a-be4c-4de81a458de1","pending",true,"keep"
"Vocal scene recall","c8df9307-e8cb-4251-ad02-b3cbc3969b51","pending",true,"keep"
"Altar Area","87c455e1-91a5-402f-accc-d947341b073b","pending",true,"keep"
"Choir Balance","ae68e50c-6cc4-4131-ab5b-23bc41ca5fc1","pending",true,"keep"
"Choir Image","2e50fa99-0487-40c2-81ab-27b1d3b43e2f","pending",true,"keep"
"Choir-Monitor Interaction","30daf391-cacd-4e5a-809b-1d9850db3083","pending",true,"keep"
"Congregational Singing Pickup","0607e03b-c0f3-45ce-b19e-e780250f15f9","pending",true,"keep"
"Liturgical Garment Miking","c40384a6-f3a8-460d-bb73-35fbea272fd9","pending",true,"keep"
"Liturgical Preset","e20aac31-d54c-456a-8c5d-8057986ddd64","pending",true,"keep"
"Microphone Sightline","e00559b9-07c7-4870-b99e-6144b7b7a3ca","pending",true,"keep"
"Microphone Visibility Constraint","c112a6f5-7180-42f2-965a-24ad20829ba1","pending",true,"keep"
"Multiple-Talker Position","4d3a480c-bc5b-4042-ad63-d336d2c66749","pending",true,"keep"
"Natural Choir Support","ebaa562a-67f6-4138-a22b-b3933a33871d","pending",true,"keep"
"Wireless Handheld Pass Microphone","04ca25d3-ad0d-4d33-a0ad-7dede847c2d5","pending",true,"keep"
"Spatially grounded sound visualization","","soundviz",false,"drop"
"RGB-audio-acoustic-field input","","soundviz",false,"drop"
"Spatial acoustic cue map","","soundviz",false,"drop"
"Vision-language model with acoustic field input","","soundviz",false,"drop"
"Acoustic field alignment","","soundviz",false,"drop"
"Zero-shot acoustic scene reasoning","","soundviz",false,"drop"
"Stellar ringing","","soundviz",false,"drop"
"Sonification","","soundviz",false,"drop"
"Sonic affordance","","soundviz",false,"drop"
"Sacred acoustics","","soundviz",false,"drop"
"Echoic affordance","","soundviz",false,"drop"
"Vocal anthropology","","soundviz",false,"drop"
"Biocultural soundscape","","soundviz",false,"drop"
"Acoustic ontology","","soundviz",false,"drop"
"Acoustic proxy","","soundviz",false,"drop"
"Sonic signature","","soundviz",false,"drop"
"Acoustic territory","","soundviz",false,"drop"
"Sonic boundary","","soundviz",false,"drop"
"Sonic museology","","soundviz",false,"drop"
"Artifact sonority","","soundviz",false,"drop"
"Acoustic affordance mapping","","soundviz",false,"drop"
"Collaborative listening","","soundviz",false,"drop"
"Sound rights","","soundviz",false,"drop"
"Sonic displacement","","soundviz",false,"drop"
"Listening power","","soundviz",false,"drop"
"Sonic kinship","","soundviz",false,"drop"
"Intergenerational sound memory","","soundviz",false,"drop"
"Sound memory work","","soundviz",false,"drop"
"1","","soundviz",false,"drop"
