term,status,current_topics
Tinnitus,EXISTS,Sound & Acoustics
100 dB LAeq Venue Limit,NEW,
A-Weighting,NEW,
Acoustic Calibrator,NEW,
Ambient-Aware IEM,NEW,
ANSI/ASA S12.6 Method A vs B,NEW,
Audiometric Age Correction,NEW,
Audiometric Database Analysis (ADBA),NEW,
C-Weighting,NEW,
Custom-Fit vs Universal-Fit IEM,NEW,
Diplacusis,NEW,
Drum Shield / Acoustic Baffle,NEW,
Electronic / Active (ANR) Earmuff,NEW,
F-MIRE (Field Microphone-in-Real-Ear),NEW,
Flat (Uniform) Attenuation,NEW,
Hearing Conservation Program (HCP),NEW,
Hierarchy of Noise Controls / Buy-Quiet,NEW,
HML Rating (H/M/L),NEW,
Hyperacusis,NEW,
In-Ear Monitor (IEM),NEW,
Integrating-Averaging Sound Level Meter,NEW,
Interchangeable Attenuation Filter,NEW,
Level-Dependent (Nonlinear) HPD,NEW,
Monitor Mix Control,NEW,
Music-Induced Hearing Loss (MIHL),NEW,
Musician's Notch,NEW,
Noise Kurtosis,NEW,
Noise Survey / Noise Map,NEW,
NRR Derating (Real-World Attenuation),NEW,
Octave-Band (Long) Method,NEW,
OSHA Recordable Hearing Loss,NEW,
Otoacoustic Emissions (OAE) Testing,NEW,
Percent Noise Dose,NEW,
Protective Communication Headset,NEW,
Real-Ear Attenuation at Threshold (REAT),NEW,
Shared-Earpiece Hygiene,NEW,
Sound Allowance / Listening Budget,NEW,
Sound Level Meter Class (Class 1 vs 2),NEW,
Sound Limiter (Venue Noise Limiter),NEW,
Subject-Fit NRR (NRR-SF),NEW,
Temporary Tinnitus,NEW,
WHO Safe Listening Venues & Events Standard,NEW,
WHO-ITU H.870 Standard,NEW,
