term,status,current_topics
Portamento,EXISTS,"Plugins & Virtual Instruments, Synthesis"
Appoggio / Breath Support,NEW,
Backing / Harmony Vocals (BGVs),NEW,
Belt / Belting,NEW,
Chiaroscuro,NEW,
Closed / Contact Quotient (CQ),NEW,
Consonant Acoustics,NEW,
Flow Phonation,NEW,
Formant Tuning / Resonance Tuning,NEW,
Glottal Source / Glottal Flow,NEW,
Growl / Supraglottic Distortion,NEW,
Laryngeal Mechanisms / Registration (M1/M2),NEW,
Legato / Staccato,NEW,
Long-Term Average Spectrum (LTAS),NEW,
Melisma,NEW,
Messa di Voce,NEW,
Nonlinear Source–Filter Interaction,NEW,
Open Quotient (OQ),NEW,
Phonation Mode (Breathy–Modal–Pressed–Flow),NEW,
Pressed Phonation,NEW,
Registration / Register Blending,NEW,
Reinforced Falsetto,NEW,
Resonance Placement,NEW,
Riffs & Runs,NEW,
SATB,NEW,
Scat,NEW,
Sob / Cry,NEW,
Straight Tone,NEW,
Subharmonics / Period-Doubling,NEW,
Twang / Epilaryngeal Narrowing,NEW,
Unison / Harmony,NEW,
Vibrato Rate & Extent,NEW,
Vocal Blend,NEW,
Vocal Glissando,NEW,
Vocal Onset / Attack (Hard/Breathy/Balanced),NEW,
Vocal Warm-up,NEW,
Vocal-Fold Adduction / Abduction,NEW,
Voice Type / Fach,NEW,
Vowel Modification (Aggiustamento),NEW,
Yodel / Register Flip,NEW,
