term,subject,landing_topic,status,source_batch
AC bias,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
AES equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Ampex Master Equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Anhysteretic recording,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Anhysteretic remanence,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Back tension,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias compatibility,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias current,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias feedthrough,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias frequency,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias null,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias rocks,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bias trap,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bulk erasure,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Bulk-erased noise,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
CCIR equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Center track,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Closed-loop dual capstan,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Closed-loop transport,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Coercivity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Constant-tension transport,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Contact loss,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Contact-loss dropout,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Crowned guide,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Cue track,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
DC erasure,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
DC noise,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
DIN tape equalization,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Dancer arm,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Degausser dwell,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Degausser withdrawal,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Differential head wear,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Differential tension,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Domain orientation,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Dual-capstan transport,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Edge guiding,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Elevated operating level,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Equalization ambiguity,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
Equalization misdecode,Archival & Analog Tape,Analog Tape / Tape Machines,EXISTING,Batch 1
