section,term,status,action,current_topics_if_exists
Mechanical Recording,Acoustic recording,NEW,author (net-new),
Mechanical Recording,Mechanical recording,NEW,author (net-new),
Mechanical Recording,Direct-to-disc recording,NEW,author (net-new),
Mechanical Recording,Cylinder recording,NEW,author (net-new),
Mechanical Recording,Wax cylinder,NEW,author (net-new),
Mechanical Recording,Disc recording,NEW,author (net-new),
Mechanical Recording,Master disc,NEW,author (net-new),
Mechanical Recording,Groove modulation,NEW,author (net-new),
Mechanical Recording,Lateral cut,NEW,author (net-new),
Mechanical Recording,Vertical cut,NEW,author (net-new),
Mechanical Recording,Hill-and-dale recording,NEW,author (net-new),
Mechanical Recording,Cutting stylus,NEW,author (net-new),
Mechanical Recording,Recording horn,NEW,author (net-new),
Mechanical Recording,Wax master,NEW,author (net-new),
Mechanical Recording,Electroforming,NEW,author (net-new),
Mechanical Recording,Stampers,NEW,author (net-new),
Analog Magnetic Recording,Magnetic recording,NEW,author (net-new),
Analog Magnetic Recording,Magnetic tape,NEW,author (net-new),
Analog Magnetic Recording,Tape recorder,NEW,author (net-new),
Analog Magnetic Recording,Tape transport,NEW,author (net-new),
Analog Magnetic Recording,Open reel tape,NEW,author (net-new),
Analog Magnetic Recording,Reel-to-reel recorder,NEW,author (net-new),
Analog Magnetic Recording,Compact cassette,NEW,author (net-new),
Analog Magnetic Recording,Microcassette,NEW,author (net-new),
Analog Magnetic Recording,Digital Compact Cassette (DCC),NEW,author (net-new),
Analog Magnetic Recording,Tape cartridge,NEW,author (net-new),
Analog Magnetic Recording,8-track cartridge,NEW,author (net-new),
Analog Magnetic Recording,Elcaset,NEW,author (net-new),
Analog Magnetic Recording,Magnetic wire recorder,NEW,author (net-new),
Analog Magnetic Recording,Wire recording,NEW,author (net-new),
Analog Magnetic Recording,Tape coating,NEW,author (net-new),
Analog Magnetic Recording,Magnetic oxide,NEW,author (net-new),
Analog Magnetic Recording,Metal particle tape,NEW,author (net-new),
Analog Magnetic Recording,Metal evaporated tape,NEW,author (net-new),
Analog Magnetic Recording,Bias current,NEW,author (net-new),
Analog Magnetic Recording,AC bias,NEW,author (net-new),
