term,subject,landing_topic,status,source_batch
Absorbing boundary condition,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Accelerance,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic bandgap,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic cavitation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic cloaking,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic impedance matching layer,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic levitation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic metamaterial,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic metasurface,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic mobility,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic nonlinearity parameter,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic rectification,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic shock,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic trapping,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic tweezers,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Acoustic vortex,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Aeolian tone,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Aeroacoustics,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Airfoil self-noise,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Anechoic coating,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
B/A parameter,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Beam tracing,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bending mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bifurcation,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Biot theory,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Blade-passing frequency,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Boundary-element analysis,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Bragg scattering,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Breakup mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
Breathing mode,Acoustics & Physics Science,Advanced & Physical Acoustics (Nonlinear/Structural/Aero/Materials),NEW,Batch 4
